Gene	Emp_Uns	Emp_IFNg	Emp_6hr_CpG	Emp_6hr_pIC	Emp_6hr_all3	NCoR1_Uns	NCoR1_IFNg	NCoR1_6hr_CpG	NCoR1_6hr_pIC	NCoR1_6hr_all3
Zc3h14	0.644141772478177	0.30431621056865	0.0834100406270727	1.4057599451353	1.05093350577618	0.388543802673124	-0.880052980133241	-1.24599080299708	-0.0407155772669467	-1.71034591686127
Troap	-0.624059471164604	-0.29957699188875	1.46316033165892	-0.558532470120951	1.53462224169887	-1.08364025439173	-0.573136437525448	0.449164827175432	-1.14420241659703	0.836200641155309
1810013L24Rik	-1.44475725002771	-1.33930184175115	-0.154901891799176	0.785068760449942	0.646800337066018	-0.710064419588893	-0.759526500217475	1.01469716973298	0.869429639858166	1.09255599627731
Srsf7	-0.685963152879571	-0.305006804156891	0.850713065195248	0.628976017325599	1.18701703908772	-1.72639238454975	-0.86414758604388	0.794488511114174	-0.818039598692286	0.938354893599643
Fignl2	-0.236530381616665	-0.765835395099636	-0.833502310178445	0.604062657473019	0.872969541089914	-0.281460992353906	-1.68569717095091	0.151489806805301	0.303709796833147	1.87079444799819
Sema6a	-0.96951351629018	-0.96951351629018	0.0114406280910211	-0.0859716967930144	1.13209919375787	-0.96951351629018	-0.706582742244997	0.680291855615006	-0.102244195020814	1.97950750546547
Anapc15	1.42689573477197	0.684820470975264	0.904415591287915	-1.06576222120963	-0.680360637480996	0.657073498383788	0.826295831985848	-0.392818461437507	-1.07224244735523	-1.28831735992143
Misp3	1.82144831452202	1.53983613711128	0.0868930218728135	-1.15039542545818	-0.035653884672776	-0.175389787043499	0.130776939287328	-0.67203959441833	-1.15039542545818	-0.395080295742489
Nmb	1.8018189318338	1.71652493760647	0.114987685792509	-0.834674069863577	-0.1671557201637	-0.182046218099912	-0.139448106875211	-1.04847955180073	-0.877263835358533	-0.384264053071096
Tcerg1	-0.471779330293921	-0.844161167602529	0.504933090062073	1.17438892281927	1.71966421109001	-0.504458363018416	-1.4880885422886	-0.113519445335938	-0.692544739355508	0.715565363923572
Zfp712	0.808152089932501	-0.420647659711796	-1.84242320018781	1.01371490059525	-0.159209175436478	0.353509794089435	-0.711837208395667	-0.844954573450627	0.289405872582853	1.51428915998239
Fam129c	-0.859505960703046	-1.07453357189232	0.238614933631496	1.91385485924018	1.43423062089929	-0.847455036694225	-0.742058687518235	-0.194921460669878	0.150516872843749	-0.0187425691370239
Atp5g3	-0.196082762023267	-0.438320959315958	2.107492977356	-1.3286819935155	0.317511311489742	-1.36398375118592	-0.194033937984597	0.0479999106552753	0.446494591571583	0.601604612952689
Pifo	-0.316227766016826	-0.316227766016826	-0.316227766016826	-0.316227766016826	-0.316227766016826	-0.316227766016826	-0.316227766016826	2.84604989415155	-0.316227766016826	-0.316227766016826
Vsx1	-0.472598047178291	-0.472598047178291	-0.472598047178291	-0.472598047178291	1.70867340579457	-0.472598047178291	-0.472598047178291	-0.472598047178291	-0.472598047178291	2.07211097163171
Fyco1	-1.36551670500999	-1.20674286842779	-0.186295969144698	1.37779817436227	0.595773428113233	-0.733520329542727	-0.878700471989246	0.579120034440803	1.12455707920357	0.693527627994577
Tlr3	0.942513342283564	0.915075765519443	-1.03109849657563	0.306007489930476	-1.05185971462131	0.915509590203546	0.845068242287925	-1.15808060166078	0.629077706043579	-1.31221332341081
Olfr1444	0.246776364879758	-1.06861510324852	0.57792273509364	-1.06861510324852	-1.06861510324852	1.7409849965875	0.486871971762621	0.504285416872078	0.71761892779844	-1.06861510324852
Ifi44	-0.951136454171586	-0.810009396425075	-0.4152823495717	0.128860257836601	-0.255958572655507	-0.830371152174687	-0.834124922955688	1.36221412100549	1.82664949641666	0.779158972695497
Trafd1	-1.09128771700917	-1.09453555410727	-0.509261737090883	1.20294024895776	0.580223550922011	-1.00619044852846	-0.915919426740414	0.845803920342654	1.10541362210438	0.882813541149405
Erfl	-0.828962935495446	0.510177729956826	-0.828962935495446	0.474559524258765	1.6136554715956	-0.026482650613229	-0.828962935495446	-0.828962935495446	-0.828962935495446	1.57290460227928
Krt80	1.526747581392	1.46644659797262	-0.429263101731115	-0.951955413383472	-0.720133246464404	0.652693596130115	0.730357956365211	-0.951955413383472	-0.370983143513995	-0.951955413383472
Armc8	-1.06335847161532	-0.809891119056491	-0.0228084890209961	1.28215972614584	1.08819229218077	-1.30794008354066	-1.08863617596446	0.229839972283485	0.802142094352105	0.890300254235721
Ppil4	0.619831749442422	-0.828198759948623	-1.28237006854691	0.698649872037406	-1.27986103001343	1.77644165990458	-0.491748887877485	0.53394815844173	0.598099117993619	-0.344791811433293
C530005A16Rik	0.679079775241489	0.761292356694243	1.59854465593279	-0.1992952478672	-1.02874842996983	0.564964597969857	0.36833774247373	-1.44302174948033	0.0284768019221276	-1.32963050291685
Katnbl1	-1.32293947666311	-1.42249837560207	-1.01299838671285	0.670018404733933	0.0991272213520348	0.252322417601093	-0.128814424106169	0.252370587674753	1.00462902506493	1.60878300665742
Spag9	0.234012618011751	0.47553616645248	-1.27107948268599	2.09246706429714	-0.475768808650728	-0.292258365303354	-0.310332302123494	-0.847487718774116	1.06945088989305	-0.67454006111676
Gm5860	-0.028682951630351	-1.38248789868736	1.05975980908574	1.34084067844518	-0.286159334672363	1.39768101155548	-1.38248789868736	-0.0604614719740132	-0.320372905109952	-0.337629038325014
Taz	-1.62869127424876	-0.631125762267714	0.847420024859693	-0.527159345957111	-1.3947449840247	0.157623734985278	0.597960664782364	1.38016430151104	0.632396154740889	0.566156485619079
