genes	cluster
Inka1	6
Rnf13	9
A630001O12Rik	34
Sdccag8	5
Sec22c	4
Supt16	18
G530011O06Rik	1
Nup88	3
Bcor	1
Btk	8
Rcsd1	3
Siah2	25
Gprc5c	6
Cdca3	23
Prex1	3
Rfx5	6
Neo1	24
Pon2	4
Foxo1	25
Nicn1	9
Cebpd	21
Arhgef17	7
Ifi30	21
Stk4	6
Rchy1	5
Sdhaf1	19
Mical1	4
Slc50a1	9
Glrx	8
Pxdc1	15
Cdkl5	1
Il1r2	8
Lmna	23
Uba7	2
Gmppb	1
Lcp2	34
Pex2	4
Kdsr	4
Ubxn2a	3
Lman2	4
Nap1l2	9
Abhd14b	9
Arhgef2	3
Mex3b	11
Ankrd50	15
Adh1	15
Ppm1m	5
Spp1	4
Cby1	23
Kazald1	5
Tmem63b	1
Dab2	4
Nrde2	10
Itpkb	15
Mtus1	4
Slc25a43	8
Tnfsf10	2
Il22	1
Gcsh	23
Adcy6	3
Ogfrl1	26
Cfap43	3
Snx18	28
Fermt2	15
Cnnm1	4
Pcyox1	5
Kalrn	32
Iqgap1	3
Fam185a	5
Abcc1	1
Zfp119b	7
Jak2	2
Slc37a3	22
Them6	23
Fut2	3
X2310040G24Rik	30
Iqce	4
Scd2	4
Cpd	7
Notch1	1
Cish	1
Plaur	1
Slc9a6	8
Neurl1a	7
Tecr	4
Ssbp4	28
Samsn1	16
Flrt2	13
Ccdc82	6
Xlr4c	15
Nxpe3	37
Iscu	6
Card6	1
Rnf219	37
Chuk	13
Dhodh	9
Tmprss11d	1
Bpgm	23
Ppp1r14a	9
Aamdc	3
Kcnab1	2
Traf6	6
Mbd4	6
Rbpms2	1
Mtm1	24
Fam241a	16
Rab11fip4	5
Pex11b	28
Nanos1	5
Aph1c	28
Arhgef10	5
Tpst2	30
Rab21	2
Acot7	3
Pitrm1	19
Galk2	5
Focad	23
Fndc4	23
Trp53	32
Shmt2	23
Slc16a3	5
Ctsc	8
Nr4a2	3
Cgas	2
Atg2b	23
Klrd1	5
Rab8a	3
Ttll2	11
Kat2b	24
Fads2	5
Ces2c	11
Scnn1g	3
Pik3r1	14
Nucb2	4
Preb	5
Mamld1	4
Stard13	21
Rabep2	7
Gm3604	21
Agap1	24
Ankrd44	9
Marf1	1
Tlr13	24
Cables2	11
Ttc5	5
Prpf4	3
Rab43	34
Gcnt1	8
Ccdc173	1
Fam50a	23
Cdca7l	9
Osgin2	3
Anp32e	5
Lipe	7
Phkb	9
Zbtb38	17
Fkbp4	5
Kynu	10
Sass6	2
Acat1	9
Dpf2	7
Lhfpl2	17
Tubb2b	25
Galns	5
Znrf2	5
Upk1a	3
Cmya5	1
A630012P03Rik	1
Plekhg3	4
Gde1	23
Psen2	28
Ptk2b	17
Cacnb3	3
Ncs1	15
Ccdc36	5
Arhgap15	5
Tmem134	1
Lactb	14
Bcl10	3
Fpr2	1
Ccdc50	6
Lpgat1	8
Tmem181b.ps	6
Hdac10	5
Dnajb14	5
Lrrc32	24
Fads3	5
Sfxn3	5
Hmgb3	4
Lpin1	8
X4833438C02Rik	1
Ms4a4b	1
Pard6b	25
Bag3	6
Zfand3	3
Selenoh	5
Pnpt1	2
Rab31	23
Retreg1	8
Rac2	11
Hvcn1	37
Creb3l2	4
Cdc42se2	13
Lair1	5
Cth	7
Kcnh3	29
Sgpp1	5
Rassf3	14
Tmem250.ps	28
Apmap	23
Coch	6
Lyve1	32
Tspan4	23
Pnp2	6
Uhrf1	19
Lrmp	25
Adgre5	28
Sec11c	4
Cbx8	30
Stap2	18
Gaa	4
Ptpn2	7
Lfng	5
Fxyd2	1
Klf10	4
X2700081O15Rik	6
Filip1	9
Enpp1	5
Klhl14	28
C1galt1c1	4
Snx22	13
Lzts2	25
Mybbp1a	37
Disc1	22
Sgpl1	21
Lman2l	23
Col27a1	2
Zfp157	5
Aph1a	4
Plekhn1	6
Plekhm1	5
Dock5	9
Foxred1	19
Prnp	24
Commd8	8
Vars	11
X4833419F23Rik	3
Esyt3	4
X4933402N22Rik	25
Gng4	2
Fbxo21	4
Gm9895	1
Bbc3	6
Ccdc93	5
Fez2	24
Sytl2	15
Pggt1b	3
Cfap410	28
Ly6m	2
Asap3	32
Pja1	4
Stoml1	2
Gapt	5
Mthfsl	3
Sptbn1	4
Il4i1	3
Tifa	5
A330035P11Rik	7
Ctss	24
Irak4	23
Ino80d	6
Ilf3	3
Sidt2	11
Kctd5	19
Tpgs2	5
Arsb	4
Dnaja1	16
Itprip	5
Zc3h15	6
Pqbp1	23
Sytl3	1
Strbp	9
Uaca	15
Abhd8	23
Ndrg3	5
Thnsl2	19
Gpr19	19
Sidt1	2
Prkar2a	5
Dcaf8l	15
Tprn	23
Tlr1	18
Mppe1	5
Wee1	1
Hip1r	7
Amer1	24
Vsir	28
Spn	11
Dpf3	27
Sfmbt1	3
Cbfa2t3	3
Nqo2	8
Vwa5a	22
Efcc1	5
Gnpda1	4
Rbm26	18
Trim2	5
Snx30	8
Celf4	9
Def6	5
Hapln4	20
Map10	37
Pgs1	7
Atr	3
Ddx6	3
Abr	36
Dcaf11	3
Crtap	15
Scarb2	24
Stx2	8
Khnyn	3
Fbxo42	3
Naa10	23
Kcna6	24
Pgrmc2	15
Golim4	9
Skida1	9
Slain1	20
Elfn1	1
Alg5	23
Lat2	9
Foxp1	14
Eif4ebp2	4
Kif5a	9
Socs5	4
Slx1b	5
Pip4k2a	23
Ppp1r12b	5
Pdgfa	17
Cd2bp2	7
Elmsan1	5
Tmod3	2
Cd48	4
Pdlim1	6
Gamt	5
Spata2l	23
Ptprf	7
Dnase2a	23
Hsph1	1
Dnph1	23
Tmem230	18
Foxp4	2
Lrwd1	5
Crip2	35
Btbd11	24
Dyrk3	24
Ccnd1	22
Hivep2	8
Zmat3	5
Gm6460	17
Snx20	34
Xpo6	3
Zfp324	23
Vps37a	18
Mgrn1	5
Gprc5a	18
Egln2	11
Adamts1	2
Slc25a24	8
Rictor	11
Slc8a2	22
Slc41a3	4
Ticam1	19
Phgdh	28
Mbd1	2
Akr1b10	5
Sdf2l1	4
Cystm1	4
Plk3	7
Shmt1	37
Man2a1	5
Fut11	9
Ltb	2
Apon	10
Klf13	8
Ccnh	23
Noa1	4
Surf4	14
Samd4b	3
Dcaf1	3
Nes	2
Muc3	11
Klhl21	23
Enc1	5
Msx3	7
Pccb	23
Vps13c	9
Cmc2	19
Prkab2	19
Arhgap35	11
Nr6a1	6
Zic2	4
Nostrin	4
Rp2	8
Ptger2	15
Sesn2	3
Ddx4	2
Cd38	4
Spata13	23
Smyd5	25
Slc33a1	11
Gm16675	16
Prkcb	5
Marchf8	15
Traf5	18
Kcnh4	3
Scly	23
Zfp366	1
Tuba1a	10
Tmem184c	5
Marchf1	30
Psph	23
Tbc1d15	3
Ttc39a	9
Cdkn2a	7
Elf3	17
Bclaf3	7
Sh3tc2	7
Tarbp2	1
Cavin1	11
Irf1	16
Ccdc86	2
Acsf2	9
Cd79b	25
Acap2	8
Zfp90	5
Snx8	26
Pank1	4
Ttyh3	23
Tasor2	2
Mthfd1l	23
Slc25a16	5
Ccdc85b	23
Hdac6	5
Scarf2	21
Orc1	7
Tmem123	16
Polb	18
Prmt2	3
Itpripl1	5
Pigb	23
Cnn3	7
Slamf6	5
Wdr48	6
Prkx	1
Hook2	6
Apcdd1	20
Clip1	26
Hs3st3a1	4
Epop	25
Tbl1x	1
Lage3	5
Cd226	5
Akr1a1	2
Ifi44	2
Ssc4d	1
Tarbp1	5
Plek2	7
Sh3pxd2b	24
Shroom1	9
Leprotl1	8
Tmem185a	4
C920009B18Rik	26
Map3k14	1
Xrn1	2
Mndal	2
Dnah6	22
Ggt1	17
Tmem131l	18
Dennd2a	9
Cnnm3	15
Inf2	3
Man2b2	23
Ilvbl	4
Psmf1	2
Eef2kmt	15
Adra2a	11
Icos	32
Fam122a	6
Acpp	14
Rbm43	8
Ddt	11
Rtn2	3
Ttll9	2
Wdr33	3
Gm8369	1
Rhbdf1	25
Tfdp2	9
Acyp1	5
Gorasp1	15
Ttc38	9
Ptprs	5
Tfap4	23
Meis1	4
Cutc	3
Rbl2	9
Pde4dip	18
Fdft1	1
Ndnf	1
Tmprss4	7
Mospd2	34
Fam3b	8
Lag3	16
Pkdcc	15
Cd44	1
Dpp6	24
Rab1b	4
Tubgcp2	19
Ufsp2	9
Klf7	8
Lix1l	30
Snx11	11
Cspg5	11
Hltf	8
Habp4	4
Gm4961	7
Lacc1	6
Nfkbid	6
Vegfa	26
Aagab	4
Trpm4	19
Gsg1	4
Smg7	2
Enah	24
Top2b	5
Trim56	2
Ifnar1	34
Cdk18	13
Phlda1	24
Tada2b	15
Exoc6	5
Rcn1	26
Rhpn1	9
Emc7	23
Tmed8	5
Fam234a	30
Tor2a	23
Dock7	5
Ppm1k	2
Sik3	6
S100pbp	20
Agpat5	5
Psme2	6
Pqlc3	8
Fbxo31	23
Bcorl1	11
Nnt	9
Cldn23	1
Hmcn2	1
Enpp4	8
Cmas	5
Rap2b	26
Glmp	5
Tnni2	4
Prxl2c	4
Ssh2	4
Bcat2	18
Atad2b	3
Mx1	2
Kirrel3	1
Acsl3	4
Csk	5
Nfxl1	34
Adam10	5
H2.K1	2
Glcci1	3
P2ry13	8
Cxcr4	8
Sv2b	5
X9330179D12Rik	1
Slc30a5	23
Lamp1	20
Atf5	1
B230217C12Rik	5
Smo	23
Specc1	1
Sptssa	5
Txndc11	4
Ripk3	24
Gng2	5
Hpcal4	2
Klrk1	10
Gins3	25
Nexmif	1
Hps4	5
Erg28	25
Shfl	3
E130309D02Rik	23
Apod	2
Iqcb1	1
Tmem170	3
Kdm5b	15
Slc1a2	3
Fam83g	3
Sntb2	28
Frmd5	10
Cryl1	4
Clcf1	6
Fbxo10	9
Tigit	6
Grhpr	9
Alox5	15
Bend4	4
Camkk2	7
Kansl1l	1
Por	15
Ncoa2	1
Vav3	8
Mitd1	2
Robo4	7
Galnt12	9
Armc8	3
Tmem87b	6
Utp3	1
Engase	23
Adora3	23
Plppr4	1
Tspan8	15
Slc27a1	9
Stard3	2
Hps5	5
Dram1	1
Cd53	21
Slc9a8	1
Bmt2	1
Ak9	2
Cacng8	20
Unc13d	20
Kirrel	11
Stx17	5
Ssx2ip	9
Tcof1	3
Enthd1	1
Ubtd2	7
Tlr2	7
Efhd1	26
Vav1	36
Chst2	1
Ly9	4
Ebp	4
Svbp	2
Dse	7
Zfp869	7
Slc25a51	7
Smim14	8
Stom	29
Ntn4	5
X1700056E22Rik	13
Mast4	35
B930095G15Rik	32
Kcnj10	9
Xlr3a	15
Ppp4r2	3
Acot1	4
P2ry10b	4
Rnf170	5
Cox15	2
Nek8	7
Agrn	3
Khk	4
Xlr	4
Dclre1b	23
Kpna3	6
Klc4	23
Rpia	5
Nxf1	3
Slc15a3	3
Fkbp15	5
Hspa1l	3
Creg1	4
Fam3a	4
Dnajc3	30
Elp1	3
Ddx1	35
Dpy19l3	5
Gtf3a	23
Klri2	8
Snx14	5
Gm9776	11
Kank2	9
Grap	7
Tmeff1	5
Triobp	2
Zdhhc20	4
Traf3	7
Pxmp4	23
Zdhhc23	21
Hook3	9
Egfr	15
Zfp740	9
Mrpl28	5
Aifm1	28
Dnajb6	1
Ppp2cb	7
Aldh3b1	23
Lrp4	25
Nol4l	6
Selenow	3
Plet1	15
Ccnb2	23
Tnk2	4
Cdk17	6
Fam161a	15
Kpna4	11
Pqlc2	22
Pkib	1
Fmn1	26
Csrp2	6
Il23a	6
Pdcd4	25
Nfya	3
Plpp5	9
Saraf	5
Psme2b	2
Ddx42	19
Vcpip1	2
Rabgap1l	2
Tet2	1
Cpq	4
Hk1	8
Agap2	9
Casc3	19
Nt5c1a	6
Phldb1	3
Utp14b	4
Flii	3
Tbc1d10b	6
Col15a1	8
Rubcn	5
Ctla2b	8
Slc12a6	4
Atp2a2	4
Septin1	20
Slc12a8	9
Pten	9
Cyp4v3	22
Rec8	20
Arl5b	16
Tex9	5
Gm12505	11
Galnt18	1
R3hdm4	4
Mbnl1	9
Jund	7
Ccdc85c	23
Actr1b	15
Tbc1d2b	5
Gpx4	15
Bloc1s2	13
Gm8979	2
Ttyh2	32
Samd10	5
Slain2	24
Sdk1	15
Foxc1	15
Xylb	9
Insm1	3
Fcrl1	17
Dennd4b	18
Fabp5	4
Slc1a4	21
Slc7a11	16
Gdpd3	5
BC064078	35
Tm2d2	5
Rhobtb1	30
Celsr1	20
Arsi	3
Arl8a	29
Pafah1b1	18
Daam1	3
Tstd3	9
Garem2	17
Mpp5	3
Auh	5
Fbxo11	3
Blvra	23
Crat	23
Pcdhgc3	4
Gm42517	4
Zfp946	9
Mef2d	23
Marcks	2
Nckap5l	30
Vkorc1	30
Afap1l2	14
Arhgdib	4
Snapc5	4
Vat1	9
Ssr4	15
Jag1	3
Ccdc102a	5
Tmem179b	5
Gosr2	18
Tulp3	3
Bcl7a	23
X9430037G07Rik	1
Sik1	5
Amigo1	4
Zscan20	9
Errfi1	15
Ppp1r21	8
Tpd52	8
Rab39	5
Gm14137	7
Calcrl	4
Pxylp1	23
Nfe2l1	6
Rusc2	29
Id1	2
Gpbp1	6
Reep6	23
Ntpcr	23
Klhl23	23
Slc22a18	4
Eif6	3
Tm7sf3	19
Rhoq	4
Nrip1	6
Afdn	4
Prdx6	4
Gnaq	8
Lgals3	4
Ephb4	20
Man1a2	15
Grk3	3
Rgs10	5
Rad54l	19
Ifitm5	1
Cobll1	15
Vhl	5
Foxa1	1
Btbd1	5
Klf11	6
Atraid	23
Ext1	1
Cep78	5
Fpgs	23
Prmt9	5
Ablim1	20
Med14	4
Myh11	25
Evl	5
Sec24b	6
Gdap2	4
Myc	5
Sigirr	4
Amigo3	6
Onecut2	34
Ssc5d	2
Rasal3	9
Cd276	17
Smarcd1	18
Fkbp1a	6
Bnip3	4
Hsd17b12	5
Cyp27a1	8
Trib2	4
Ppdpf	6
Vmn2r3	3
Cd47	2
Arhgap29	24
D430020J02Rik	19
Aph1b	4
Utp18	19
Nceh1	21
Arl4a	8
Bsg	15
Itpripl2	34
Nup85	19
Srebf1	4
Plekha5	5
Hcfc2	4
Mbtd1	3
Mcu	15
Casq1	4
Grhl1	3
Lratd2	24
Fam89b	5
Aco1	4
Chst3	5
Acadsb	18
Ttc13	4
Spta1	6
Sars	15
Mis18a	23
Gatc	23
Bin2	36
Prkch	4
Prkcz	15
Gm19757	24
Mettl2	19
Ktn1	16
Stk19	1
Hspa2	1
Poglut3	4
Supt4a	3
Dcxr	25
Zfp868	7
Elovl5	5
Vipr1	9
Camsap2	4
Slc37a4	5
Lck	6
Ppm1d	27
Qsox1	21
Lzts1	5
Tssk3	2
Tfrc	23
Vamp8	5
Stk32c	4
Pecam1	7
Cxcl13	1
Zbtb16	4
AI987944	1
Tyro3	3
Eif4e3	5
Atp11b	24
Ubxn8	35
Dlg4	7
Slc25a33	1
Wnt11	3
Tmem59	4
Ephx3	35
Rps6ka3	4
Pink1	5
Ppm1l	19
Limk1	23
Ccdc73	1
Tcf7l2	1
Fbxo25	35
Mmgt2	30
Plcb4	22
Lrrc51	2
Bri3	24
Trim43b	11
Arhgef18	12
Tacc2	28
Cdc42ep3	8
Specc1l	1
Tmem65	16
Tmem238	5
Zfp141	5
Eps8l2	3
Sh3glb2	5
Nagpa	23
Loxl3	3
Neu1	21
Nampt	10
Sec63	15
Olfr1033	1
Galnt6	4
Ebpl	23
Lrrc57	5
Rnf43	11
Atp23	4
B4galt6	1
Arf4	1
Slc25a10	11
Ky	1
M6pr	2
B4galt7	28
Gdf11	10
Snai3	9
Slc2a8	5
Mrc2	3
Poldip3	7
Ubc	1
Zfp518b	15
Dyrk4	22
Tmem147	23
Slc26a2	11
Atg3	4
Lcn2	17
Actr3	8
Zfp949	3
Ywhag	18
Id3	5
Gpi1	5
Tsc22d4	4
Nrtn	7
Akt1s1	1
Ubash3a	14
Dnase1l1	4
Sertad1	11
Slc35d2	4
Dennd11	29
Rab28	24
Nfia	5
Sbf2	6
Heatr5b	7
Sult1c1	4
Dynlt1a	23
Sumf2	23
Mpeg1	13
Ccdc107	23
Wdfy3	15
Gng10	5
Galk1	23
Slc31a1	23
Notum	19
Serpinb6a	3
Kmt5a	15
Tmem35b	6
Lyl1	22
Camkk1	36
Gpr82	8
Srp54a	35
X4933432I03Rik	10
Itgb1bp1	23
Tmem62	5
Clec1a	5
Trim30b	2
Pla2g12a	30
Alms1	9
Srf	23
Yaf2	5
Myadm	9
Gm4349	5
Scpep1	3
Arhgap20	1
Tmtc4	8
Cbx1	18
Dip2b	3
Arsk	5
Fer1l5	5
Ndufa6	23
Gpr152	11
Enho	5
Qrsl1	5
Pcyox1l	23
Txlna	37
Eml2	11
Art3	3
Kcne3	21
Zfp715	5
Rab3a	4
Grb2	3
Cnpy2	4
Grwd1	25
Rab3il1	30
Clock	24
Plppr2	25
Panx1	26
Igsf9	2
Usp2	4
Trpm2	3
Smarcal1	5
X1700013H16Rik	5
Hdac1	2
Pelp1	19
Crybg3	16
Dlx2	9
Uxs1	15
Gm11127	26
D630045J12Rik	28
A430033K04Rik	23
Nrarp	23
Il17rd	17
Mri1	23
Fbxl3	18
Atp8a1	24
X3010003L21Rik	1
Sinhcaf	6
Dbf4	28
Zfand2b	17
Pacsin1	3
Chst14	11
Tmed3	28
Cd2ap	22
Naalad2	15
H2.Aa	5
Tlr6	13
Vcam1	2
Dnajb2	6
Twf2	13
Sgk3	3
Tas1r3	1
P2ry6	17
Dynll2	18
Gpx3	2
Csnk1g1	3
Mapkbp1	3
C2	1
Spidr	5
Fig4	8
Spib	2
Pla2g5	15
Mrpl45	19
Ubap2l	19
Tktl1	2
Gstp1	20
Hspb1	1
Crem	16
Bcl11a	7
Tyk2	2
Gramd1a	1
Tcn2	6
Ephx1	5
Kdm6b	7
Med29	19
X2700054A10Rik	24
Zfyve28	30
Mira	5
Dusp12	1
Lhx2	6
Zfp3	9
Tox3	3
Klhl18	8
Nubpl	9
Apol7e	2
Mef2c	13
Mfsd14a	5
Tusc3	4
Fnip2	5
Polr2g	10
Ralgps2	15
Pax5	1
Tfeb	9
Tspan13	4
Pla2g4f	11
Hmgcl	4
Mpp2	3
Plekha7	20
Ints12	1
Adam17	3
Kpna2	25
Comt	23
Smg8	19
Zfr	3
Snx24	23
Rnf145	5
Ccdc69	36
Piga	21
Cog4	19
Foxc2	12
Llgl1	3
Il17ra	7
Fgd6	8
Ankrd39	4
Snhg15	1
Tpr	2
E230029C05Rik	21
Traf3ip3	9
X2610318N02Rik	23
Slc25a36	5
R74862	6
Plekha4	2
Edf1	11
Emc2	5
Ift122	6
Tpm3	10
Tex261	23
A430093F15Rik	1
X9930111J21Rik2	16
Mtor	7
Tm9sf3	4
Rhoh	7
Ipmk	15
Slirp	3
Pik3c2b	30
Ppp2r1a	6
Alg6	9
Rasal2	24
B2m	2
Med1	3
Chsy3	24
Tyw3	23
Slc4a4	16
Yeats2	5
Psme1	3
Ak4	26
Ube2e2	12
Cmtm8	30
Itpr3	5
Pcbp4	35
Slc16a6	35
Rbbp8	6
Pla2g2d	12
Ap2b1	3
Dxo	7
F8a	28
Itga6	9
Ncln	28
Mia2	5
Nlrc5	2
Appl2	5
Mospd3	5
Arhgef39	23
Foxh1	1
Ganc	9
Lpl	12
Spns2	11
Sumo3	4
S100a11	24
Clcc1	15
X4930432K21Rik	18
Lysmd4	19
Zeb2	1
Runx1	5
Kmo	21
Soat2	21
Zmym4	18
Syne1	8
P2ry1	21
Aldh3a2	5
Dmrt3	4
Jag2	9
Mrpl10	18
Ciart	28
Gm11166	1
Med10	3
Mfsd10	24
Nipal3	23
Slc19a1	23
Pik3cb	4
Ercc5	4
Wdr92	19
Tspyl4	30
Fbxl15	7
Lrrc49	3
Gm6377	8
Zfp110	37
Hif1a	22
Zfp580	35
Pbxip1	18
Cbr3	4
Galt	9
Coil	37
Acadvl	25
Dnajb1	6
Rere	5
Elmod3	23
Ppp3ca	5
Gtf2f1	6
Cd3eap	5
Hic1	13
Gk5	4
Cyp51	28
Slc26a11	4
Fam117a	36
A030001D20Rik	3
Vps26a	24
Foxl1	12
Ppp1r13l	5
H1f10	21
Med13	3
X9330175E14Rik	3
Kctd10	10
Mogs	23
Stk40	2
Ambra1	3
E130311K13Rik	19
Gltp	4
Ado	15
Pgm2	30
Nol7	1
Slc6a13	5
Il12rb1	16
Pou3f1	26
Atp11a	3
Ggcx	9
Siae	5
Txndc12	23
Wdr81	23
Vcpkmt	23
Haao	8
Rilpl1	2
Abcg1	16
Luc7l3	3
Chml	28
Tbc1d17	6
Gpr180	23
Tmc6	9
Tsc22d3	4
Klhl22	15
Zfp944	5
Crtc2	3
Ogdhl	2
Olig2	5
Pter	9
Myo5b	3
Htra2	6
Pck2	20
Vash1	7
Gm15133	2
Scn2b	32
Lemd2	5
Tmem107	23
Mmp12	15
Sdc2	15
Pdlim7	4
Egr2	8
Wdr44	13
S100a10	24
Sod3	7
Pdgfrb	11
Bmi1	24
Bcl9l	3
Btbd9	3
Zfp358	35
Crot	15
Cand1	1
Srpk2	9
Dglucy	3
Spata31d1b	1
Cers4	9
Spcs3	5
Snx27	15
Zfp809	3
Fech	23
X2610524H06Rik	4
Xlr4a	24
Cep350	6
Arfgap2	19
Txn1	2
Atl3	10
St6galnac2	32
Pdlim4	6
Syt7	6
Bmp8a	1
Zfyve26	3
Pomt1	23
E330020D12Rik	5
Vwa8	21
Eif5a2	4
Acot13	23
Rac3	19
Zfp959	3
Acot2	5
Snrnp35	1
Acot9	6
Rnf122	8
Arhgap4	23
Rps27l	1
X9330159M07Rik	1
Ak3	4
Scamp5	4
Dgkg	4
Ip6k2	3
Slc35a1	5
Cwc25	18
Pmp22	29
Zswim4	16
Sh2b3	9
Jmjd8	23
Gsn	4
Itpka	5
Mboat7	5
Kcng2	20
Tmem9	4
Pik3r2	23
Rreb1	4
Cd37	23
Gpr171	11
Spty2d1	3
Rnf5	4
Ppib	5
Snx16	1
X1700052K11Rik	3
Ltc4s	4
Dnmbp	5
Il13ra1	24
Emb	8
Glce	5
Cdh15	3
Clmp	20
Arrb2	3
Ucp2	8
Itga3	8
Fgfr3	2
Rras	19
Letmd1	19
Gda	11
Abhd11	28
Depdc1b	4
Adarb1	15
Hscb	23
Micu1	4
E2f8	23
Lima1	9
Plekhm2	6
Lrp8	8
Surf1	30
Thap6	8
Tmem129	15
Nme3	23
Ptp4a3	23
Tpi1	5
Jchain	2
Vps8	5
Tha1	25
Ikbkb	6
Zfp113	18
A530064D06Rik	10
Bckdhb	5
Pgm2l1	9
Morf4l2	3
Nthl1	9
Krt80	5
Smtn	23
Gata2	24
Clec4b2	28
Abhd14a	9
Dsel	24
Ccnt1	3
Smim40	18
Apol7b	2
Asb11	1
Scamp2	3
Castor2	3
Gm11532	19
Eid2b	1
Ccdc120	3
Gapvd1	3
Tdrkh	15
X1700030J22Rik	6
Gab3	23
Gimap1	8
Srsf7	19
Itm2c	21
Dennd6a	3
Ywhaq	18
Gpcpd1	3
Crebrf	3
Glul	5
Jak3	2
Cstf3	3
Alpl	5
Suco	1
Xbp1	4
Thbs4	3
Psmd7	6
Dctpp1	23
Tln2	15
Acvr1b	9
Tmprss13	6
Mis12	18
St7	9
Siva1	23
Pimreg	23
Gla	15
Zfp422	19
Prdm9	10
Lyrm9	23
Prickle3	4
Clec4b1	15
Il11ra1	23
Dnajb13	28
Zbtb18	19
Casp2	8
Aga	30
Mroh1	5
Psmc4	19
P3h4	9
Plscr1	5
Unc45b	6
Oxr1	5
Atp13a3	21
Rad51c	37
Ago3	3
Pirb	22
Rassf8	4
Klk1b27	37
Zfp513	1
Zfp213	3
I830077J02Rik	5
Eapp	19
Radx	37
Tmem106c	23
Fbxl22	1
Slc25a35	9
Scd4	4
Dok2	5
Grasp	2
Pheta1	8
Trim12c	2
Ier5l	4
Ccdc112	37
Fam117b	5
Fcmr	1
Omp	1
Zfyve1	3
Rbpms	7
Dscaml1	3
Cln6	5
Flad1	37
X1810020O05Rik	8
Angel1	37
Lbr	4
X1700066M21Rik	4
Amotl1	35
Fcgr2b	9
Baz2a	6
Ppp1r10	6
Cdc42bpg	3
Ccr1	8
Gm45521	2
Papolg	18
Cdkl3	10
Jmjd1c	24
X4833418N02Rik	1
Stxbp5	23
Capg	27
Ina	37
Gtf2b	25
Ptpra	4
Smyd2	4
Prkce	3
Lysmd1	21
Plrg1	37
Slc39a8	9
Gba2	23
Gstm2	1
Mreg	18
Tctex1d2	4
Apba1	20
Kdm1a	19
Ift172	5
X1700065D16Rik	3
X4930431F12Rik	6
Slc20a1	24
Atp1b2	32
Gstt4	11
Sypl	8
Flot2	27
Slc26a6	1
Bivm	5
Setdb2	10
Slc17a8	24
Mrps36	30
Ccdc115	23
Epas1	15
Myo5a	7
Trio	32
Ptprcap	37
Sri	8
Gm38426	5
Ly96	16
Klhl5	8
Cln5	18
A930006I01Rik	17
Tnfrsf8	1
Rgl1	26
Sapcd2	23
Depdc1a	23
Zfp57	4
Prpf38b	8
Dera	5
Polr3gl	5
Adgrl3	24
Tvp23a	27
Donson	5
Arhgef40	3
Tmem126a	5
Adam9	5
Lmbrd1	5
Zmpste24	5
Zmynd15	3
Tdpoz4	3
Man1c1	30
Tbc1d8b	20
Ctbs	4
Ect2	15
Triap1	28
Bahcc1	32
Ttc1	7
Ythdc2	8
Ddx17	8
Ralgds	5
Noxred1	5
Wrap53	18
X9930014A18Rik	24
Sgms2	6
Lurap1	20
Casp1	26
Kdelr1	23
Dcbld1	15
Smad4	3
Rnaset2b	16
Nlgn2	3
Morf4l1	18
Epb41l1	24
Pgrmc1	4
Smim11	23
Clk3	1
Olfml2a	3
Mcm10	3
Hdac4	4
Rnf157	7
Sat2	9
Slc2a4	7
Enoph1	8
Hmga2	8
Gm9054	9
Supt6	3
Tnfrsf26	9
Gpatch4	37
Cdc14b	4
Bphl	5
Ndufaf6	5
Klhl42	23
Insig1	15
Ing2	1
Ptpn23	6
Fam160a1	19
Acot4	5
Bbs12	4
Ube2cbp	23
Gtf2a2	23
Ccdc74a	4
Acp5	1
Mknk1	9
Ddit3	21
S100a1	15
Stard9	5
Cotl1	4
Galnt11	28
Hivep1	2
Gstm4	15
Bcap31	8
Cbr4	19
Serpina3f	2
Uqcrh	3
Hipk1	4
Nod1	16
Camk2n1	3
Nfat5	6
Hdac8	5
Fam160b1	4
Stard3nl	8
Krt222	7
Cyp20a1	23
Osbpl7	20
Srd5a1	4
Smyd3	23
Foxo3	4
Espn	3
Inafm2	21
Fgr	26
Atrx	6
Qdpr	4
Cbwd1	6
Mindy1	23
X2610008E11Rik	23
Atp2b4	1
Cd209g	11
Ifitm1	1
Tmem181a	28
Il2rb	16
Tbl1xr1	24
Polr2a	19
Dpy19l1	8
A930005H10Rik	1
Cd209e	23
Dusp8	3
Tspan5	15
Rec114	15
Phf24	9
Cmtr1	1
Jmy	15
Tbc1d19	15
Fam83c	6
Slc8b1	5
Pvt1	5
Reps1	25
Smpd2	4
Sema3f	37
Stat4	10
Cln3	29
Utf1	11
Rps6ka4	8
Dock9	16
Klrb1b	34
Dnajc22	19
Coq10a	5
Rara	22
Srms	3
Cemip2	6
Zfp62	3
G0s2	25
Ubr4	2
Acbd5	5
Vdr	21
Zfp273	4
Aig1	24
Phf21b	11
Peg12	4
Cd151	4
Atf7ip2	1
Rpp25	23
Shisa3	7
Kif17	5
Pcyt1a	8
Pdzd4	37
Mgat5	15
Kat6b	5
Rflnb	30
Amdhd2	30
Cdkn2d	30
Get1	28
Fbn1	2
Rufy2	4
Dap	4
Flt3l	9
H2.Q5	3
Mettl18	23
Zfp956	23
Wdr91	8
Cbl	8
Hs2st1	23
Gm13807	2
Emp3	18
H2bc21	4
Tbc1d10c	9
