genes	cluster
Nfkbie	2
Sema4a	3
Gm19510	1
Rab19	8
Bcl2a1d	3
Ptpn18	4
Rhbdl3	7
Hc	7
Frmd4b	2
Gbp3	2
Hnrnpll	5
Slfn2	3
Ctdsp2	4
Cdc14a	9
Riox2	11
Lpar5	5
Ddx60	2
Fam149a	5
Pim1	6
Pttg1	6
Mon1b	19
Plgrkt	11
Lrrk2	5
Csrp1	2
Prxl2a	24
Adam8	1
Rnf130	5
Nudt9	6
Mmp25	3
Ksr1	14
Abcd1	8
Dph5	7
Eif2ak1	1
Tnip1	2
Psap	4
Pdxk	23
Nfkbia	7
Tlr11	9
Pdp2	18
Cxcl2	1
Arhgap22	7
Asrgl1	19
Cyb5a	5
Tpbg	1
Mxd1	6
Tmem176a	1
Slc39a10	23
Otof	1
Ccpg1	5
Mospd1	9
Mul1	6
Serpinb8	8
Plat	6
Alas1	7
Chn2	5
P3h2	15
Rassf5	5
Oas1b	1
Sowahc	2
Epha2	8
Fgd1	5
Bcl2	8
Cblb	1
Klf4	4
Lilr4b	1
Isg20	2
Arl5c	18
Ing1	19
Rps6ka1	5
Ly75	7
Stat5b	7
Ankmy2	23
Dennd2c	4
Prkag2	5
Scin	2
Zhx2	1
Dennd5a	3
Rnf213	2
Ap3m2	3
Tlr9	3
Sh2d3c	9
Cd68	5
Rgs14	8
Il1a	1
Rapgef2	3
Tslp	7
Unc119b	4
Rhou	1
Tnfrsf21	5
Dhrs9	5
Gpr160	6
Entpd5	5
Fndc7	5
Slc6a6	3
Gas7	5
Arhgap25	5
Cers5	5
Ric1	11
Creb3l1	25
Spry4	8
Rel	3
Plagl2	1
Nub1	2
Adm	1
X9130015A21Rik	1
Bcl2l1	11
A530040E14Rik	2
Pax6	5
Scn1b	1
Atxn1	26
Naaa	5
Svil	4
Atg9b	23
Atp13a4	1
Tmem184b	2
Cfp	4
Tgtp2	2
Snai1	7
Ubald1	23
Pid1	8
Adar	3
Erp29	4
Dll4	6
Il12a	7
E230013L22Rik	3
Entpd6	23
Skil	2
Ptgs1	4
Fzd1	5
Fgfbp3	1
Mapk6	1
Epb41l5	1
Otud1	16
Stat1	2
Zfp217	2
Txlnb	1
Suox	7
Spock1	1
Sp6	11
Tle3	1
Meis3	27
Fam107b	11
Ube2l6	2
Sbds	2
Gm10451	20
Gm12250	2
Naga	5
Lilrb4a	1
Myd88	1
Eef2k	5
Cdk5r1	3
Flnb	7
Slc9a4	8
Zfp36l2	4
Zfp811	11
Tagln2	3
Casp4	1
Sgsh	5
Add3	9
Ptger3	5
Cyfip2	9
Exoc3l4	3
Igbp1	11
Htr7	16
Ppfia4	5
Anpep	23
Serpinb9	26
Nup62	7
Socs2	3
Icosl	2
Irf2bp2	8
Ifi47	2
Frmd4a	2
Gpr146	21
Kctd12	9
Pacc1	5
Sp8	4
Smad9	5
Sema7a	1
Ifitm6	1
Rnf135	3
Pnrc1	10
Sgcb	2
Rhoc	3
Wdfy4	5
Map3k8	11
Cd200r1	13
Rhbdf2	7
Nrg2	5
Eif2ak2	2
Rbms1	2
Slc12a7	15
Spata2	1
Nkain1	7
Ccdc149	1
Ncf2	5
Impa2	5
Oaf	6
Tnfaip8l3	8
Slc49a4	1
Plxnb2	15
Cd9	7
Malt1	6
Hsd17b7	17
Pdzk1ip1	7
Marveld1	4
Iqsec2	11
Cfh	4
Hps3	8
Extl1	3
Myo1g	3
X1110032F04Rik	7
Eps8	5
Egr1	8
Ccnd2	6
Hdac9	5
Smap2	1
Pstpip2	3
Mob3a	1
Phf11a	3
Ifngr1	8
St3gal1	1
Map1b	1
Ago4	5
H2.T24	2
Slfn3	2
Sqstm1	11
Tmem200b	6
Bst2	2
Slc66a2	4
Scarb1	28
Fzd10	4
Fzd7	28
Sh3bp5	11
Nid2	4
B4galnt4	1
Bri3bp	5
Basp1	6
Selplg	6
Pnp	2
Arrb1	5
Acox3	8
Il4ra	3
AI504432	12
Plp2	4
Rnf125	29
Zfp296	19
Arhgap9	5
Mlkl	10
Gucy2c	5
Wdr59	7
Arl11	5
Etv6	3
Ninj1	1
Dnase1l3	2
Cgnl1	5
Dmwd	8
Zc3h12a	1
Fam53c	3
Gm12185	2
Mafb	4
Cct3	3
Dhx40	11
Stk39	3
BC028528	8
Gfi1b	11
Etl4	26
Qpct	4
Plau	8
Nfatc2	9
H2.Q4	2
Lif	16
Nt5c3	2
Cbx6	9
Blnk	11
Tesk1	1
Parvg	5
Marchf5	2
Daglb	23
Timd4	2
Shroom4	5
Osgin1	4
Heca	1
Agl	5
Ndrg1	1
Zfp282	5
Ptgs2	11
Npr3	9
Lipg	17
Lpar6	8
Fam168a	9
Nedd9	9
X1700003M07Rik	11
Alpk2	1
Rasgrp4	5
Il2rg	2
Hck	11
Anxa4	2
Insl6	3
Oas2	2
Sulf2	9
Igf2bp2	1
Slc11a2	1
Ccl12	1
Was	5
Egln1	4
Mrps7	19
Stra6	7
Ankrd63	30
Atp2a3	25
Igsf8	4
Mif4gd	3
Septin6	4
Acadm	5
Dna2	5
Serpinb9b	1
Tbkbp1	9
Chst11	21
Rabgef1	1
Metrn	23
Ermp1	9
Col4a2	24
Mamstr	3
Palm	5
Dennd4a	1
LOC101055843	2
Rnf19b	1
Mtmr12	1
Pgap2	3
Il21r	3
Slc22a15	1
Nup210	5
Slc2a6	2
Srgn	1
Antxr2	8
Tnfrsf1b	11
Parp1	5
Ikbke	7
Phf20	16
Dipk2a	5
Rab27a	23
Slc25a22	2
Dtx3l	2
AW112010	1
Erich3	15
S1pr2	8
Ryr1	5
Pim2	25
Zdhhc9	4
Jup	4
Ifi35	3
Lrrc8d	28
Adi1	23
Tpm1	25
Papss1	5
Col4a1	24
Tcf19	23
Kcna3	12
N4bp2l1	2
Tmem63a	9
