genes	cluster
Cd2bp2	2
Rtn2	2
Tbc1d8	1
Slc5a3	5
Muc3	2
Sfxn3	3
Nsmaf	8
Nono	1
Id3	3
Ptprs	3
Ssh2	3
H2bc4	3
Bbc3	1
Dock2	3
Eml2	2
Rcl1	2
Fuca1	8
Leprotl1	5
Lair1	9
Gprc5a	1
Fndc4	3
Ranbp2	1
Rictor	2
Cmc2	1
Nqo2	5
Pdlim1	1
Naglu	3
Itgb2	3
Tuba1a	4
Rab22a	1
Pnp2	4
Hip1r	2
Bcl10	1
Apon	1
Nupr1	1
Klrd1	3
Rab29	1
X9330175E14Rik	1
Arl5a	1
Arl10	5
Kdm4a	1
Wars	1
Dnajb2	1
Phf14	3
Prmt2	1
Tmem131l	1
Arhgap35	2
Iscu	1
Efcc1	3
Galnt10	3
Eif2ak3	3
Aamdc	1
Ssx2ip	5
Thra	3
Tpr	1
Abcc3	6
Nfkbid	1
Slc14a1	5
Slc37a3	3
Art3	1
Sidt2	2
Tbc1d10b	1
Ezr	1
Scly	3
Psma6	2
Vegfb	3
Pkib	1
Id1	1
X2700081O15Rik	1
Mppe1	3
Creb3l2	3
Psph	3
Atp10a	1
Mapkbp1	1
Lhfpl4	3
Rnpep	3
Mmgt2	3
Gpbp1	1
Psen2	3
Ppp3cc	1
Smcr8	1
Atg2b	9
St3gal3	1
Clcn4	3
Eif2ak1	2
Lcp2	5
Hapln4	3
Arhgef17	2
Myo1f	8
Spata2l	3
Adam10	3
Cfb	2
Bcl9l	2
Tor2a	3
Tspyl4	5
Nox1	2
Pard6b	7
Mdp1	3
Tbc1d2b	3
Gaa	3
Siah2	6
Lfng	8
Rab8a	1
Lacc1	4
Hmga2.ps1	3
Myc	3
Yes1	4
Skida1	3
Rassf3	4
Slc25a10	2
Smpd3	6
Tecr	5
Fam83g	2
Vmn2r3	1
Klri2	8
Trim43b	2
Cfap43	1
Dennd2d	3
Jund	2
Vat1	5
Dnph1	3
Hk2	1
Gpr146	3
H2.Oa	5
Osr2	7
Atp2c1	3
Ptpro	5
Kif1a	2
Fcrl1	6
Map4	1
Asap3	5
Oas1c	1
H2.Aa	5
Clec12a	3
Cask	1
Aunip	1
Tyro3	1
Urgcp	1
Acat1	3
Heatr5b	1
Mylk	2
Bcorl1	2
Ppig	4
Them6	3
Cd47	1
Nucb1	7
Hax1	2
Rab11fip1	1
Fbxo11	1
Slc27a1	3
Smtn	3
Ncapd2	3
Il23a	4
Samd4b	1
Smo	3
Adora3	3
Pqlc2	3
Serpinb1b	1
Vav1	9
Sfmbt1	1
Tigit	1
Agap2	3
Ky	2
Psme2b	1
Hmgb3	3
Fads3	3
A330035P11Rik	2
Sdc3	8
Rbm38	3
Pigs	3
Gpr141b	3
Sec22c	5
Kpna4	2
Slc25a43	3
P2ry6	6
Fads2	3
Abcg1	1
Bag3	1
Tfdp2	3
Vps54	1
Nnt	3
Usp3	2
Trpm4	2
Acsf2	3
Hs6st1	7
Flt4	1
Rabgap1l	1
Kynu	4
B230217C12Rik	3
Hdac6	3
Lnpep	4
Dcaf11	2
Gabpb1	1
Skap2	3
Gfod1	5
Sec24b	1
Clip1	1
Arsb	3
Dnah6	8
Mapk3	5
Hs3st1	2
Pdgfa	6
Traf3ip3	3
Erg28	6
Rbbp8	1
X4833419F23Rik	1
Zfp119b	2
Srrm1	1
Lemd2	3
Cbx4	7
Adamts1	1
Notch1	2
Eva1a	6
Eps8l2	1
Pla2g4f	2
Dnajb14	3
Cystm1	5
Trip12	1
Fabp5	5
Evl	3
Thnsl2	2
Gdpd3	3
Crtc2	1
Pccb	3
Slc26a2	2
Atl3	4
Dhodh	3
Patz1	3
Adra2a	2
Gcsam	1
Sbno2	1
Icos	5
Uggt1	3
Limk1	3
Nceh1	3
Elovl5	3
Fkbp4	3
Irgm1	1
Kank2	3
Strbp	5
Chst15	8
Fam185a	3
Mpp5	1
Lrwd1	3
Eno4	1
Heg1	2
Nap1l2	3
Tmem184c	3
Il18	2
Ank	3
Galnt12	3
Chek2	3
Rufy1	3
Tpgs2	3
Cyp27a1	5
Tmem65	4
Tyk2	1
Ndrg3	3
Ccdc173	1
Tubb6	2
Vcpip1	1
Gramd1a	2
Pld4	10
Shroom3	5
Osmr	2
Tmem63b	1
Ccdc85b	3
Serinc5	1
Ugt1a7c	3
Hmgcs1	1
Rhobtb1	5
Rchy1	3
Mri1	3
Lix1l	3
Snx20	8
Stx6	2
BC051226	1
Src	1
Bcat1	6
Ifi30	3
Dennd6a	1
Itpkc	2
Josd1	2
Uprt	3
Zfp869	2
Mybbp1a	2
Ifit1bl2	1
Tent4a	1
Ccnb2	3
Nagpa	9
Gm12505	2
Tjp3	5
Pde8b	5
Arhgef39	3
Mbnl1	3
Hr	7
Focad	3
Pqlc3	5
Sh3glb2	3
Ccndbp1	3
Fam118a	3
Plcb4	5
Sdhaf1	2
Exoc6	5
Hmbs	3
Slamf8	8
Zic2	3
Mmd	1
Tmem154	3
Lrch3	1
Btk	3
Mbd4	4
Ntpcr	3
Csk	3
Stat4	4
Epsti1	5
Tnk2	5
Pon2	5
Stk32c	3
Stk11ip	1
Stard8	5
Spp1	3
Slamf1	2
Ankrd37	3
Azi2	1
Pxylp1	3
Zbtb7a	1
Wdr81	3
Hspa1l	1
Lima1	5
Cdkn2a	1
Crybg3	4
Fbxo42	1
Lag3	1
Utp20	2
Rac2	2
Ppp3ca	3
Srgap2	2
Loxl3	1
R3hdm4	3
Kdsr	3
Nckap5l	3
Med14	3
Mapkapk2	2
Itpripl1	3
Pja1	3
Cdkn2d	3
Camkk2	2
Zfp157	3
Sord	3
Nostrin	3
Rgs10	3
Tmed8	3
Sesn2	1
Sh3tc2	2
Nfe2l1	1
Rfx5	1
Rab11fip4	3
Dock5	5
Pdzd11	1
Lman2	3
Fbxo21	3
Snapc5	3
Tmem250.ps	3
Vps26b	3
Vkorc1	3
Phgdh	3
Pilrb1	3
Xlr	3
Vipr1	7
Rab3d	5
Bpgm	3
Hmcn2	1
Kctd1	3
Aldh3b1	10
Slc41a3	3
Daam1	1
Surf4	2
Prkab2	2
Ccdc102a	3
Rab1b	3
Idh1	3
Enc1	7
H2.K1	1
Hivep1	1
Rbm19	2
Shroom1	5
Ido2	1
Gm11532	2
Slc50a1	3
Cdca7	3
Ccdc93	3
Fnip2	3
R74862	1
Tfrc	3
Prkag1	3
Lnx2	1
Fam122a	1
Enho	3
Frrs1	3
Adgre5	3
Bin2	9
Zwint	2
X2610318N02Rik	3
Cbwd1	1
Fut11	3
Sptssa	3
Ccnh	3
Specc1l	2
Kat2b	5
Runx1	3
Lman2l	3
Mtap	6
Plekha4	4
Mapkapk3	1
Ubtd2	2
Pag1	5
Ccdc69	3
Mx1	1
X4930486L24Rik	8
Pawr	5
Cox15	1
Dip2b	1
Preb	3
Rasal3	3
Dpagt1	3
Mef2d	3
Nicn1	3
Pggt1b	1
Ppdpf	1
Gne	3
Mthfsl	1
Chpt1	1
Sbf2	1
Ift22	2
Ebp	3
Top2b	3
Suco	1
Klhl36	3
Atrx	1
Ccdc85c	3
Mapk9	3
Smarcd2	3
Tyw1	3
Hk1	5
Stard3	1
Map3k14	1
Irak4	3
Fdft1	2
Ndnf	2
Sdccag8	3
Cd79b	2
Saraf	3
Apol9a	1
Tnfrsf13c	7
Mospd3	3
Snx22	8
Blvra	3
Plekhm2	1
Fam214b	2
Atraid	3
Slc33a1	2
Itprid2	1
Scrn2	3
Mrpl28	3
Wdr48	1
Dut	3
Prxl2c	3
N4bp3	5
Slc4a4	1
Dscaml1	1
Arf4	1
Bcat2	1
Ptpn2	1
Nrarp	3
Filip1	5
Foxred2	3
Cd226	5
Dpf3	4
Pigb	3
Fbxo10	7
Hps4	3
Glmp	3
M6pr	1
Prkx	1
Mcrip2	9
Dusp12	2
Gsdmd	1
Spns2	2
Ktn1	4
Spcs3	3
Gm4961	2
Mir22hg	1
Hsd17b7	2
B3gnt3	5
Tmem87b	1
Prkar2a	3
Apmap	3
Pqbp1	3
Pik3r2	3
Vps13c	3
Reep6	3
Nid1	1
Pla2g12a	3
Dyrk4	5
Cutc	1
Akr7a5	3
Tprn	3
Phkb	3
Cnnm1	3
Psme2	1
Pnpt1	1
Tfeb	3
Klhl21	3
Col4a3bp	3
Hsd17b12	3
Sbno1	1
Fam234a	3
Dpy19l1	5
Commd8	3
Nlrc4	5
Armc8	1
A030001D20Rik	1
Dcaf1	1
Cep350	1
Tmem238	3
Traf3	2
Asph	3
Gtf3a	3
Ankrd17	1
Ms4a6c	2
Pirb	8
Ambra1	1
Zfand2b	2
Ppp2cb	2
Def6	3
Olfr1033	2
Tom1	3
Slc35f5	3
Galk2	3
Hook3	3
Sntb2	3
Ifnar2	3
Nt5c1a	1
Cdca7l	3
Msrb3	3
Nod1	1
Dctpp1	3
Sart3	1
Vcpkmt	3
Mga	1
Xpo6	1
Shfl	1
Rnf227	3
Il1rl1	7
Sgk3	1
Acot13	3
Rnf4	1
C1galt1c1	3
Prkch	3
Hcar2	2
Cers4	3
Ttc38	3
Lage3	3
Ptprf	2
Fkbp1a	1
X1700030J22Rik	1
Tarbp2	1
Fosl2	7
Gpcpd1	1
Zfp946	3
Cyp4v3	5
Tyw3	3
Plekhm1	3
Xylb	3
Socs5	5
Txndc12	3
Amigo3	1
Vamp8	3
Ilvbl	3
Jade2	2
Arsi	1
Sapcd2	3
Hmgcl	3
Lipg	2
Ablim1	3
Yju2	2
Zfp62	1
Phtf2	3
Rnf43	2
Mgrn1	3
Stap2	1
Zdhhc20	3
Ccdc86	1
Lrp4	2
Pwwp2b	5
Comt	3
Slx1b	3
Atf5	2
Tomm70a	1
Nfia	5
Zfp740	3
Hdac10	3
Glo1	3
Fpgs	3
Tmprss4	2
E2f6	3
Insig2	3
Sertad1	2
Ubr4	1
Zfp944	3
Ccdc120	1
Lrrc49	1
Gda	2
Ubc	1
Grk3	1
Cenpo	3
Clcf1	1
Ston2	3
Dthd1	1
Kansl1l	2
Gpx4	3
Matn2	3
Inpp5j	3
Treml4	3
Gm9776	2
Ivns1abp	3
Haao	3
Slc1a5	3
Gm9895	2
Iqcb1	1
Engase	3
Card6	2
Camsap2	5
Tdp1	3
Gm8979	1
Catsperg1	1
Cmtm8	3
Gdap2	3
Myadm	5
Cdh15	1
Nipal3	3
Ptk2b	6
Emc7	3
Zdhhc14	2
Ppt2	5
Nos2	2
Eloa	1
Klf11	1
Myl12b	5
Uaca	7
Mamld1	3
Dnajb6	1
Naa10	3
Tmem156	3
Rab39	3
Pxmp4	3
Ttc5	3
Mreg	1
Tmem64	3
Ctla2b	3
Garem2	6
Aph1b	3
Mbtd1	1
Gpr152	2
Ift122	4
Epb41	5
Gpr85	1
Cd37	3
Apol7e	1
Ephx1	5
Prdm9	4
Crem	1
Slc25a44	1
Ppib	3
Tmem50b	3
Sigirr	3
Golga3	1
Xbp1	7
Nme3	3
Hgsnat	3
Trim2	3
Ptgr2	3
Ufsp2	3
Csnk1g1	1
Klhdc2	3
Tarbp1	3
Socs1	1
Fam89b	3
Gtf2f1	1
Wdr33	2
Prxl2a	3
Ccdc36	3
Plpp5	3
Acsl3	3
Mpp2	2
Prdx6	3
Plppr2	6
X9530068E07Rik	1
Pex2	3
Pik3c2b	7
Zfp324	3
Ripply3	7
Rab3il1	3
Hook2	1
P2rx5	2
Apol9b	1
Arsk	3
Pgm2l1	5
Ogdhl	1
Dgkz	3
Epcam	6
Ndufa6	3
Id2	3
Tmem107	3
Cnpy2	3
Chuk	3
Arhgef12	1
Rnf170	3
Slc10a7	3
X2610524H06Rik	5
Rgs19	3
Tmem170	1
Glrx	8
Sult1a1	7
Wdfy1	1
Neurl1b	5
Tmem59	3
Lyl1	3
Slc25a16	3
Gsg1	5
Mitf	4
Ccdc149	2
Cand1	1
Kremen1	1
Itgb1bp1	3
Ccdc191	1
Myo5b	2
Zfp513	1
Tox3	1
Fbxl15	2
Supt4a	1
Gdf11	4
Kif13b	2
Ppm1l	2
Gatc	3
Ube2t	3
Mpeg1	3
Zfr	1
Zfp90	5
Ralgds	3
Cmtm3	3
Hspa2	2
Zscan20	3
Spata2	1
Tmem35b	1
Rhoq	5
Rara	5
Arhgap6	5
Man1c1	3
Adgrl1	3
Lck	1
Gnpda1	3
Snhg15	2
Zfyve26	1
Ssc5d	1
Mis18a	3
Olfml2a	1
Nacc2	5
Ntn4	3
Wdr76	3
Myo6	3
Dtnbp1	6
Whrn	2
Akr1a1	1
Slamf6	3
Wee1	1
Dpysl5	7
Rwdd4a	2
Casp2	3
Slc2a8	3
Lpar3	8
Ssc4d	1
Mlxip	1
Dcbld2	1
Aph1c	3
Il11ra1	3
Mpv17l2	3
Baz2a	1
Slc12a7	3
Klhl23	3
Fam32a	1
Pomk	3
Acot9	1
Gba2	3
Gtf2a2	3
Osgep	3
Tspan13	7
Tlr2	2
Tbc1d17	1
Tdpoz4	1
Rgs9	1
Tcof1	1
Thbs4	1
Ltc4s	3
Pgs1	2
Synj1	1
Ift140	8
Phlda1	5
Stk19	2
Lipe	1
Ticam1	2
I830077J02Rik	5
Tnik	5
Fam131c	7
Higd2a	7
Itgam	10
Cish	1
Lpgat1	3
Pimreg	3
Nabp1	1
Rn45s	4
Lats1	1
Nlrc5	1
Rflnb	3
Med13	1
Btbd1	3
A430033K04Rik	3
Utf1	2
Eci1	3
Vps37c	1
Ddhd1	1
Srms	1
Slc35d2	3
Itpr3	3
Rab3a	5
A530064D06Rik	4
Klk1b8	6
Elp1	2
Utp3	1
Pkdcc	3
Habp4	3
Abca2	3
Ifitm1	2
Mitd1	1
Ap1g2	1
Lrrc57	3
Sv2b	3
Tex261	3
Tiparp	1
Nus1	2
Ctif	4
Ddr1	6
Clec1a	3
Afdn	3
Rogdi	3
Akt1s1	2
Asap1	1
Nfya	1
Mknk2	2
Zfp809	1
Noxred1	5
Gm16675	4
Slc2a1	8
Ms4a4a	2
Stra6	2
Pdlim7	3
Chst14	2
Svbp	1
Rilpl1	1
Tex9	3
Arhgef4	3
Gba	3
Auh	3
Slc12a6	7
Fam216a	10
Ccnt1	1
Mettl2	2
Sidt1	1
Ltbr	3
Ltb	1
Plxna1	8
Dock7	3
Washc4	1
Slc37a4	3
Gcdh	3
Dipk1b	3
Lpl	6
Tdpoz8	2
Mcm10	1
Ptrhd1	3
Ccdc82	1
Sgsm2	3
Dxo	2
Hltf	3
Casc3	2
Lhx2	1
Llgl1	1
Tmem147	3
Tvp23a	4
Apod	1
Pbxip1	1
Nudt14	3
Gpr180	3
Ikbkb	1
Ctsc	8
Tsc22d4	3
Zfp488	1
Poldip3	2
Urod	5
Creb3l1	6
Zdhhc23	3
A430093F15Rik	2
Arl4a	5
Mrpl45	2
Fgfr3	1
Golim4	3
X4931406C07Rik	5
Sod3	2
Aga	3
Gimap1	5
Jchain	1
Adam17	2
Lactb	4
Hic1	3
Dnajc21	4
Mroh1	5
Tmc6	5
Pitrm1	2
Ebpl	3
Rhov	2
Tmem179b	3
Pten	3
H2.Q5	1
Sh2b3	3
H2.M3	5
Nubpl	3
Ift172	3
Kdm1a	2
Gpx3	1
Tmprss11d	2
X4930431F12Rik	1
Prmt9	3
Osbpl9	3
Siva1	3
Arhgef19	7
Tm2d2	3
Ncdn	2
Acadl	1
Dcxr	2
Chml	3
Zmat3	3
Samd10	3
Tcp10a	2
Snx24	3
Tstd3	3
Gpr19	1
Plxnd1	1
Uchl3	3
Cmya5	1
Tenm4	3
Ndufaf7	3
Mthfd1l	3
Notum	2
Gm5861	2
Ly96	4
Ctla4	1
Fancc	1
Snx30	5
Prkaca	3
Fnbp1	1
Ankib1	1
Rubcn	3
Tnni2	3
Arhgap4	3
Ccnd1	8
Maged1	1
Tusc3	3
Sik1	3
Rnf5	3
Ankrd39	3
Zfp3	3
Depdc1b	3
Zfp422	2
Cox18	1
Osbpl10	3
Smad4	1
Nup85	2
Krt80	3
Ino80	1
Rnaset2b	4
Ppp2r1a	1
Snrnp35	1
Slc22a18	5
X1810013L24Rik	1
Edf1	2
Prps2	3
Tmtc2	1
Zfp503	3
Clasp1	1
Kdr	1
Arrb2	1
Pacsin1	1
Dctn6	3
Ptpn23	1
Shisa7	3
Pank1	3
Atp13a2	10
Mfsd14a	3
Setbp1	1
Pex11b	3
Fech	3
Eif6	1
Hs3st3a1	5
Polr3gl	3
Ddost	3
Tmeff1	3
Txn1	1
Aplf	3
X3010003L21Rik	1
Slc22a17	3
Slc25a36	3
Tsc22d3	3
Elmod3	3
Cln6	3
Errfi1	3
Cd1d1	1
Shc4	1
Nipsnap1	3
Ank1	5
Jag2	7
Cxcr4	5
Slc36a4	3
Vav2	2
Acvr1	5
Plekha5	5
Creg1	7
Ssr4	3
Pdk2	3
Fbrs	1
Mtus1	7
X9930111J21Rik2	4
Cib1	3
Cdc42se2	3
Rp9	3
Acot1	3
Zfp827	1
Aarsd1	3
Morf4l2	1
Ocln	1
Selenom	3
Gcat	3
Clmp	5
Itga3	3
Pink1	3
C2	2
Arhgap20	2
Eloc	1
A830018L16Rik	7
Nfat5	1
Bphl	3
Cpm	5
Stx17	3
X1700065D16Rik	1
Apol7b	1
Surf1	3
Med1	1
Vps35l	3
Ubash3a	2
Rbl2	7
Zfp959	2
Slc25a45	3
Polk	3
Pstk	3
Prkcb	9
Klk1b1	2
Specc1	1
Ago3	1
Sfr1	4
Gfi1	6
Dchs1	3
Nefh	3
Rb1	5
Sgms2	1
Asgr2	5
Fgf11	3
Tarsl2	5
Zbtb18	2
Gpr65	1
Fxyd2	2
Azin1	2
Trim30b	4
Nek8	1
Zswim4	4
Cnn3	2
Ext1	1
Kdelr1	3
Cd38	3
Pik3cb	3
Bcas3	7
Hscb	3
Rps6kc1	3
Nme4	3
Rnf145	3
Naip6	5
Hpcal4	1
Nrtn	2
Ap4e1	1
Sptbn1	7
St7	3
Lpin1	3
Srpr	2
Arhgdib	3
G0s2	6
Hpse	4
Amigo1	3
Cog4	2
Gpi1	3
Dnajb1	1
Tnks1bp1	1
G530011O06Rik	1
Gga3	1
Zfand2a	2
Hfe	3
Fam117b	3
Rbmx2	1
Atp6ap2	3
Camk2n1	2
Dusp22	2
Acot2	3
Myl4	2
Ptafr	1
Lcmt1	3
Snx14	3
Soat2	3
Tpi1	3
Dse	1
Depdc1a	3
Lamtor2	5
Mrpl42	3
Yaf2	3
Ctsz	1
Tmem9	3
Hif1a	5
Prkacb	7
Klhl42	3
Tmie	1
Jmjd8	3
Slc9a6	3
Kcng2	3
Ak9	1
Slc9a8	1
Sult1c1	5
Ahcy	10
P3h4	3
Zmpste24	3
Oxr1	3
Slc25a23	5
Dym	3
Arhgef40	1
Dclre1b	3
Sumo3	3
Mir155hg	1
Csad	5
Cd2ap	8
Wdr92	1
Usp2	3
Papss2	1
Atp13a3	3
Cenpv	3
Hps5	3
Gm42517	3
Abi3	3
Ppp2r5c	3
Tns4	3
Tmem126a	3
Fgfr1op	2
Cyp51	10
Sh2d2a	6
Psmd7	1
Slc26a11	3
C2cd4c	6
Cpsf3	3
Lrrc51	1
Dusp8	1
Bcam	6
Dcaf4	3
Ddx49	2
Gm45521	1
Snx16	1
Dnajb9	7
Zfp715	3
Zfand5	1
Nek7	1
Naalad2	3
Shisa3	6
Plau	8
Slc25a33	2
Smim11	10
Cdkn2aipnl	3
Pnma1	5
Alg6	3
Cryl1	3
Slc25a51	2
Cfap410	3
Tmem251	3
Stx3	5
Celsr1	3
Fes	3
Pgm2	3
X6720489N17Rik	10
Ptp4a3	3
Dennd2a	3
Dnmbp	3
Ganc	3
Timm10b	3
Klhl18	8
Cln3	4
Xrn2	1
Ggt1	2
Eif1b	3
Rad54l	1
Dynll2	1
Supt6	1
Ifi202b	1
Slain1	7
Kcnj10	3
Gm8369	2
Smpd2	3
Mrpl34	3
Lrrc32	2
Abhd4	3
Vhl	3
Med27	3
Ppp1r10	1
Kdelr3	3
Aqp9	3
C030006K11Rik	3
Nsmce1	5
Siae	3
Pcdh7	3
Ccr4	2
Smim14	5
Galt	3
Pltp	2
Spsb2	3
Fap	1
Tktl1	1
Klf7	5
Flt3l	5
Fam3a	3
Nrm	5
Tlr13	1
Hs2st1	3
Slc19a1	3
Clk3	1
Ctbs	3
Gpr82	3
Prss57	3
Tmem181a	3
Pter	3
Itprip	3
Nkapd1	1
Nol7	1
Tent5b	3
Gstt4	2
Tmem62	3
Dock9	1
Slc17a7	3
Bckdhb	3
Papolg	1
Tm7sf2	3
Trim62	9
Rec8	3
Vash1	1
Ergic3	3
Zbtb16	7
Hsdl2	3
Zfp213	1
X1700056E22Rik	3
Zfp868	2
Slc12a8	3
Tex2	3
Pole2	3
Mindy1	3
Stx4a	1
Acss2	3
Fam129b	2
Nlgn2	1
Tex30	6
Jam2	1
Gm13807	1
Vcan	1
Zfp982	3
Thap11	3
Pls1	1
Clip2	1
Ak3	3
Polg	5
Alms1	3
Marchf9	5
Cpeb3	4
Gm16617	1
Fer1l5	3
Fkbp15	3
Orc1	2
Smg1	1
AW046200	2
Pck2	3
Gm14137	2
Galnt6	3
Fam160a1	2
Cdk6	2
Troap	2
Ypel3	3
Dglucy	1
Cotl1	3
Cmtr1	1
Cbl	8
Tspyl1	6
Thap3	3
X2210016L21Rik	3
Pcdhgc3	3
Ctnnd2	7
Jade3	1
Dlx2	5
Mex3d	3
Taf15	2
Padi2	5
Lmf1	3
Dera	3
Ly9	7
Myo18a	3
Ppa2	3
Idi1	2
Garnl3	5
Stx16	1
Fam98c	3
Arl15	3
X5430437J10Rik	1
Triap1	10
Dhx34	1
Bnip3	3
Tnfrsf26	3
AI504432	1
Cdr2l	3
Fgf6	4
Itpka	5
Slc36a1	3
Tram1	3
Bag2	3
Dexi	1
Castor1	6
Kcnip3	3
Zfp251	3
Suclg2	3
Cep83	1
Mecp2	1
Srd5a1	3
Cmas	3
Dip2a	5
Creld1	7
Amdhd2	3
Gab3	3
Utp18	2
Foxn2	1
Eif2b2	3
Fas	1
Smco4	3
Phka2	3
Nthl1	3
Zfp273	5
Rere	3
Abhd14a	3
Ccnl1	1
Ccr1	8
Trim37	3
A930005H10Rik	2
Ier5l	3
Atp23	3
Ube2cbp	3
Cd63	1
Aagab	3
Smim10l2a	7
Lsr	5
Mblac1	3
Slk	5
Eif4ebp2	3
Enthd1	2
Gatm	3
Zfyve1	1
Bcl7a	3
Cd5l	6
Lbr	3
Pomt1	3
Rubcnl	9
Pvt1	3
Shc2	2
Stfa2	6
Samd5	4
Rpp25	3
Emc2	3
Pecam1	2
Rundc3a	3
Sh3d21	1
Scn1b	2
Ecsit	3
Ift46	3
Gm11166	2
Gm9054	3
Bcl2l12	3
Unc45b	1
Exosc5	3
X2410006H16Rik	10
Slc11a1	9
Fig4	3
Inafm2	3
X9430037G07Rik	1
Polr3a	1
Zfp366	2
Tm2d3	3
Crot	7
X5830432E09Rik	3
Rnf187	3
Dram1	1
Arsa	3
Egfl8	3
Pcmtd1	5
Krtcap2	3
Emb	5
Krt222	2
St6galnac6	5
Pip5k1a	2
Plscr1	5
Hcfc2	3
Fgf2	4
Ide	3
Mcat	2
Slc25a35	3
Pcyox1l	3
Sharpin	3
X9030025P20Rik	2
X5730403I07Rik	2
Gm38426	3
Akap11	3
Coq10a	3
Zfp949	1
Tango6	3
Kctd13	1
Pik3r6	2
Enpp5	3
Tmem185a	3
Czib	2
Car9	3
Kif17	3
Clec4b2	10
Mknk1	3
Cfap53	1
Zfp872	1
Slc29a3	1
X1700052K11Rik	1
Zfp141	3
Stac	5
Serpinb6a	1
Il22	2
Fgd6	3
Il1rap	1
Mboat7	3
Pou6f1	1
Stard9	3
X9330159M07Rik	1
Tcp11l1	2
Tmem106c	3
Myo5a	2
Dbndd2	3
Trak1	2
Abcg3	8
Lamp2	2
Gadd45g	7
Map4k4	1
Il1bos	2
Smim3	2
Csnk2a2	1
Tlcd2	1
Epb41l4b	2
Tet2	2
Brd2	1
Cnst	3
Adssl1	7
Zfp956	10
Rnd2	3
Itga8	3
Zfp428	6
Leprot	5
X9330179D12Rik	2
Dok2	9
Ldb1	3
Nudt8	3
Gm4349	3
Phf21b	2
Ltbp1	1
Mlh3	3
Psmd11	2
Ttc39a	3
E130311K13Rik	2
Gm6377	8
Aph1a	3
Gale	3
Olfm2	1
Eid2b	2
Tmem150b	3
Appl2	3
Mast1	3
Tc2n	1
Sptbn4	3
Gga2	1
Mia2	3
Lrrc63	1
P2ry10b	3
Zfp617	2
Atp11a	1
Ep400	1
Ggcx	3
Slc2a4	2
Brdt	1
Spcs2	3
Smyd3	3
Tbc1d10c	3
Calb2	4
Gm19557	5
Rnf19a	2
Rabl3	1
X2310043L19Rik	1
Apcdd1	5
Itm2c	3
Tmem14c	3
Mmgt1	3
Rsrc2	1
Prpf38b	8
Speer1	2
X1110008P14Rik	3
Pias4	1
Gstt2	2
Adk	3
Clec1b	3
Tgfbr1	3
Mboat1	3
Elmo1	1
Rps27l	1
Ndufaf6	3
Ikbip	5
Eif5a2	3
Glce	3
Dgkg	3
Parp2	3
Runx2	1
Setdb2	4
Vars2	3
Pcbp4	1
Klk1b27	10
Reps1	6
Thrsp	1
Fzd10	3
Gm12159	5
Cyp20a1	3
Acvr1b	3
Celf2	5
Zdhhc2	5
Tk2	3
Apc2	7
Slc1a4	3
Slc39a13	3
Espn	1
Shisal1	4
Ethe1	3
Nav2	7
Kansl3	1
Tcf7	1
Mrps36	3
Gm6637	1
Ccnyl1	1
Znrd1	3
Tuba8	1
Ccr2	1
Cd81	4
Kndc1	2
Bmp8a	2
Rassf8	3
Fkbp11	7
Map3k12	4
Usp17la	5
Slc45a3	5
Rita1	3
Tmco1	3
Vcam1	1
Slc35f2	3
Aire	4
Mllt11	1
Cbr3	5
Casr	2
Ifitm5	2
Ppp1r13l	3
Mtor	2
Syt7	1
Nprl2	3
Scd4	3
Plaur	2
Stk40	1
Actr3	3
Kmt2b	1
Dcun1d4	3
Srek1ip1	5
X4930470H14Rik	1
Art2b	1
Zfhx2	1
Bet1l	2
Cdk20	3
Nol4l	1
Bloc1s2	3
Akna	1
Pheta1	5
Lpxn	3
C1qtnf12	7
Zdhhc8	3
Rptor	1
Card9	3
Ttc28	3
Micalcl	5
Ddrgk1	3
Hoxa7	3
Fabp7	1
Acot4	3
Dpm3	3
Upf1	1
Vmac	3
X2610008E11Rik	3
Kank3	5
Coprs	3
Slc2a13	2
B3gnt5	1
Osbpl8	1
Mmp24	1
P2rx1	2
Il12rb1	4
Dtx3	3
A330049N07Rik	3
Gnrhr	1
Cd209e	3
Ift27	3
Apba1	5
Ing2	1
Msantd4	2
Zmynd15	1
Gstcd	2
Trp53i13	7
Utp14b	3
Slc16a2	3
Arntl	1
Myo10	4
Kctd9	2
Hddc2	3
Naa38	3
Ints12	1
Spr	3
Tm9sf2	2
Zgpat	1
L3mbtl3	5
Usp20	2
Taf7	1
Cemip2	4
Poglut3	3
Col9a3	1
Col15a1	3
Fbxw5	2
Mettl26	7
Plek2	1
Kif3b	2
Ddx4	1
Tjap1	1
Emp3	1
Farp1	1
Ncoa1	3
Nexmif	2
Mirt1	2
Fli1	3
Tas1r3	1
Sema3b	2
Lyrm9	3
Sumf1	3
Uqcc3	3
Bola1	3
Gm15133	1
Bbs2	3
Itgav	1
Tulp3	1
Glrx5	3
Slc46a1	3
Tomm5	9
Axdnd1	1
Lancl1	3
Vwa3b	1
Crtam	6
Morrbid	2
E2f8	3
Il13ra1	8
Gtpbp4	2
Bad	3
Aoah	1
Pld3	3
Pgap1	3
Ttc1	2
Tmem164	3
Slc6a9	3
Sec14l2	3
Esco2	3
Ddx17	8
Nsun6	1
Donson	3
Smim4	3
Map1lc3a	1
Apoa2	2
Prrc2a	1
Atp5c1	3
Fah	2
Hgs	1
Cdk18	3
Fam49b	3
Gm4759	1
