genes	cluster
Klhl6	3
Map2k6	3
Zc3h12a	2
Cacna1s	2
Dmpk	3
Epha2	5
Bco2	2
Lrp11	2
Arhgap22	1
Eif2ak2	1
Rnd1	2
Tbc1d4	1
Mamstr	1
Fgfr1	7
Smad9	3
Mylip	1
Ikbke	2
Rapgef2	1
Slc66a2	3
Ksr1	2
Ehd4	1
Arrb1	3
Klf4	5
Flnb	2
Oas1g	1
Icosl	1
Adgrb2	2
Rhbdl3	2
Ints4	1
Amz1	3
Map3k8	2
Themis2	1
Otud1	1
Mical2	3
Iqsec2	2
Ptpn18	5
Nfkb1	1
Frmd4b	1
C1qb	2
Zfp811	2
Rab27a	3
Cd84	3
Hes1	3
Ptpn7	3
Lilr4b	1
Trim34a	1
Gm12185	1
Adar	1
Ell2	1
Kif21b	2
Insl6	1
Serpinb1a	1
Plce1	3
Mapk14	3
Pax6	3
Dennd5a	1
Sp110	1
Mettl7a1	3
Col5a3	1
Prdm1	2
Sgms1	3
Nuak2	1
Ipcef1	3
Impa2	3
Resf1	1
Sowahc	1
Col23a1	5
Adm	1
Zfp296	2
Tlr9	1
Slc46a3	3
Zfp36	1
Tmem131	1
Itgb5	1
Tpbg	1
Ifi203	1
Ccpg1	3
Nfkbib	1
Cd24a	7
Lilrb4a	1
Gm12250	1
Sqstm1	2
Mlec	3
Txndc16	5
Fgd1	3
Cgnl1	3
Ncf2	3
Tmem200b	1
Asrgl1	2
Fndc7	3
Rbms1	1
Ahr	1
Dennd4a	1
Heatr9	1
Gbp3	1
Ube2l6	1
Hhex	5
Malt1	1
Fbxw11	1
Mbp	4
Nt5c3	1
Cd244a	3
Il16	3
Mospd1	3
Clec5a	8
Dipk2a	3
Tgtp2	1
Unc119b	3
Abcc4	3
Prr5l	1
Arhgap9	3
Rnase6	3
Zc3h12d	4
Tnfrsf9	2
Dhx40	2
Fam49a	1
Lrrk2	3
Htr7	4
Npr3	7
Fam149a	3
Nck2	2
C1qc	2
Skil	1
Entpd5	3
Rnf130	3
Hck	2
Samd9l	4
Exoc3l4	1
Oas2	1
Ankrd33b	1
Pttg1	1
Ifi209	1
Tspan3	1
Stat1	1
Stat5b	2
Chn2	3
Sgsh	3
Zfp599	2
Qpct	3
Tmem184b	1
Tnfrsf1b	2
Pfkfb3	1
Nr4a2	1
Il2ra	1
E2f2	3
Pdgfb	2
Dtx3l	1
Fzd1	3
She	3
Kank4	5
Tgfbr2	2
Tbkbp1	3
Txlnb	2
Csf1r	9
Serpinb9	1
Nfkbia	1
Adcy6	1
Marchf5	1
Rps6ka1	3
N4bp2l1	1
AW112010	2
Ndrg1	1
X1700003M07Rik	2
Itga4	4
Tnfrsf21	3
Ano6	3
Itga5	2
Gcnt2	5
Bbx	1
Pim1	1
Ppfia4	3
Eps8	3
Manba	3
Myo18b	1
Dpysl2	5
Atg9b	3
Lap3	1
X1110002J07Rik	1
Jup	3
Ap3m2	1
Nudt17	2
Cyb5a	3
Pcgf5	1
Meis3	4
Cacnb3	1
Cited2	1
Anxa7	1
Ubald1	3
Mul1	1
Phlda2	1
Rnf19b	1
Anxa4	1
B4galt5	1
Psd	1
Gas7	5
Nrp1	3
Sh2d3c	3
Larp1	1
Mafb	3
Atp2b1	1
Mapk6	2
Zfp703	2
Mctp1	3
Wdr59	2
Idh2	3
Sulf2	5
Il2rg	1
Cdc14a	8
Cdh17	3
Kctd12	3
Zfp282	3
Ankmy2	3
Erp29	3
Igbp1	2
Cacna1g	2
Asah1	3
Dennd3	4
Arhgef6	3
Bank1	5
Daglb	3
Timd4	1
Arl11	3
Adgre1	2
X9930111J21Rik1	1
Dhrs9	5
Csrp1	1
Wdfy4	3
Mpp1	1
Cd68	3
Dph5	2
Golm1	3
Serpinb8	3
Tagln2	1
Pmaip1	1
Ifnlr1	2
Tbc1d32	1
Trib1	1
Il10	2
Marveld1	3
Ncoa7	1
Mlkl	4
Naga	3
Sppl2a	1
Suox	2
Nucb2	3
Abhd15	3
Tbc1d1	1
Blnk	2
Slc7a7	3
Dnase1l3	1
Iffo2	4
Nrg2	3
Dyrk2	1
Heca	2
Fam53c	1
Gm3336	5
Scube3	1
Ccser2	1
Etv6	1
Rhbdf2	1
Zup1	1
M1ap	4
Serpina3g	1
Pak1	5
Rhof	1
Slc25a22	1
Rtl8a	3
Itgax	3
Lif	4
Pmvk	2
Add3	3
Col27a1	1
Adgb	4
Mras	3
Ifngr1	3
Procr	1
Palm	3
Pstpip1	4
C1ql4	2
Abcd1	3
Bahd1	2
Grk6	3
Ifnb1	1
Phf20	4
Il4ra	1
Was	3
X1700025G04Rik	5
Ifitm3	1
Gpr160	1
Synpo2	2
Rap2a	1
Sting1	3
Cd209g	2
Bri3bp	3
Cd9	2
Gjb2	1
Rnf135	1
Elp5	2
Laptm4b	1
Gpr68	2
Tmem176b	2
Carhsp1	1
AA467197	1
Mrvi1	5
Klk1b11	2
Cadm1	3
Arc	1
Rassf5	3
Tspo	1
Dmwd	3
Fcer1g	2
Serpine2	2
Gucd1	1
Gpsm3	3
Ryr1	3
Plekho1	3
LOC101055843	1
Fat3	7
Ocstamp	3
Tle3	1
Sigmar1	3
Parvg	3
Pde9a	5
Mmp19	1
Pgap2	1
Spred1	1
St3gal1	2
Slc2a6	1
Clec9a	3
