PeakID	Irf1_0	Irf1_120	Irf4_0	Irf4_120	Junb_0	Junb_120	Rela_0	Rela_120	Relb_0	Relb_120	Rel_0	Rel_120	Stat1_0	Stat1_120	Stat2_0	Stat2_120	Stat3_0	Stat3_120
peak12412	8.86	5.15	1.50	5.93	4.67	0.00	0.00	3.87	2.08	0.00	0.00	1.60	0.97	2.57	0.00	2.57	3.14	0.80
peak28861	0.00	1.29	3.00	1.78	0.00	1.91	0.00	1.93	2.08	1.04	0.00	0.00	1.81	1.45	1.37	0.00	0.63	0.00
peak5631	5.54	9.02	4.50	2.37	0.00	5.74	3.34	7.74	0.00	11.43	3.22	4.79	2.66	2.45	2.73	0.64	1.89	5.60
peak26259	6.65	5.15	4.50	2.37	6.22	9.57	0.00	0.97	3.12	2.08	1.61	6.38	0.36	2.12	4.10	2.57	1.26	3.20
peak12973	6.65	7.73	15.01	2.37	1.56	1.91	0.00	0.00	0.00	4.16	0.00	0.00	1.69	5.91	0.00	5.13	1.89	0.80
peak25750	2.22	0.00	0.00	1.78	17.11	3.83	0.00	3.87	0.00	6.24	0.00	4.79	0.73	1.56	0.00	1.92	1.89	1.60
peak21703	7.75	1.29	10.51	4.75	14.00	13.39	5.57	3.87	1.04	1.04	3.22	6.38	1.81	3.01	5.47	1.28	0.00	4.80
peak11618	5.54	5.15	7.51	8.30	3.11	1.91	0.00	6.77	2.08	5.20	3.22	3.19	2.42	4.57	4.10	15.39	3.14	6.40
peak24725	1.11	6.44	3.00	1.19	0.00	7.65	0.00	1.93	2.08	2.08	0.00	0.00	0.48	3.68	0.00	0.64	5.03	1.60
peak22422	15.51	10.31	37.53	7.71	14.00	9.57	5.57	7.74	1.04	1.04	0.00	6.38	1.57	4.57	1.37	3.85	6.92	13.60
peak29546	1.11	2.58	4.50	2.37	4.67	5.74	1.11	1.93	0.00	5.20	3.22	1.60	2.54	1.45	5.47	6.41	5.03	8.00
peak14500	0.00	6.44	3.00	4.15	9.33	13.39	1.11	9.67	0.00	7.28	0.00	6.38	0.97	3.57	2.73	3.85	1.89	0.00
peak2380	7.75	9.02	1.50	8.90	6.22	38.26	0.00	12.57	1.04	6.24	0.00	3.19	0.97	5.13	0.00	1.28	1.26	8.00
peak27599	2.22	0.00	4.50	2.97	0.00	1.91	0.00	0.00	0.00	0.00	0.00	3.19	0.24	2.34	0.00	7.05	1.26	0.00
peak4599	0.00	3.87	0.00	0.59	3.11	0.00	0.00	1.93	2.08	2.08	3.22	1.60	0.24	0.89	1.37	0.64	0.00	0.80
peak22261	5.54	7.73	9.01	5.34	18.67	19.13	1.11	7.74	2.08	8.32	0.00	0.00	1.21	5.24	2.73	5.13	3.77	2.40
peak13082	14.40	12.89	13.51	4.15	10.89	17.22	6.69	9.67	3.12	1.04	3.22	6.38	2.06	3.24	1.37	1.28	5.66	8.80
peak6862	0.00	0.00	0.00	0.00	0.00	0.00	1.11	1.93	3.12	0.00	0.00	0.00	1.33	0.67	0.00	0.00	0.00	1.60
peak18754	0.00	7.73	4.50	5.34	0.00	13.39	10.03	1.93	4.16	1.04	0.00	3.19	0.85	1.12	1.37	0.64	2.51	0.80
peak27064	0.00	2.58	4.50	0.59	0.00	3.83	1.11	0.00	0.00	1.04	1.61	0.00	0.36	0.45	2.73	0.00	0.00	0.00
peak20928	3.32	2.58	0.00	0.00	0.00	3.83	0.00	0.97	2.08	1.04	1.61	1.60	0.48	1.67	0.00	0.00	1.26	0.00
peak24987	4.43	6.44	0.00	4.75	3.11	3.83	4.46	10.64	1.04	1.04	1.61	6.38	1.69	3.01	1.37	3.85	0.00	3.20
peak18130	3.32	15.46	9.01	4.75	6.22	7.65	4.46	8.70	2.08	3.12	4.83	7.98	1.33	3.12	0.00	3.85	1.26	2.40
peak9782	6.65	3.87	6.00	4.15	10.89	7.65	2.23	4.84	7.27	19.75	4.83	4.79	3.51	2.45	1.37	1.92	4.40	2.40
peak30389	4.43	2.58	4.50	1.78	6.22	0.00	2.23	0.97	5.19	1.04	3.22	3.19	1.94	1.79	1.37	2.57	0.63	0.00
peak20300	0.00	1.29	0.00	0.00	0.00	0.00	0.00	7.74	1.04	1.04	0.00	3.19	0.60	1.56	2.73	0.00	0.63	0.80
peak29188	0.00	2.58	0.00	0.59	3.11	3.83	1.11	1.93	0.00	4.16	1.61	1.60	0.36	0.56	0.00	0.00	0.63	2.40
peak12415	7.75	12.89	25.52	4.75	6.22	17.22	4.46	23.21	1.04	3.12	0.00	9.58	0.85	2.45	1.37	1.92	1.89	3.20
peak21822	1.11	5.15	4.50	2.37	3.11	0.00	1.11	9.67	1.04	4.16	1.61	0.00	1.33	1.90	1.37	0.00	2.51	2.40
peak3109	2.22	6.44	1.50	2.97	0.00	0.00	1.11	3.87	7.27	1.04	1.61	4.79	2.06	1.23	0.00	1.92	1.26	3.20
peak4143	0.00	0.00	0.00	0.00	0.00	1.91	1.11	0.00	0.00	0.00	0.00	1.60	0.36	1.34	8.20	0.64	1.26	2.40
peak3604	8.86	7.73	21.02	7.71	17.11	26.78	1.11	6.77	2.08	3.12	1.61	1.60	2.18	2.45	2.73	8.98	0.63	4.00
peak13514	1.11	0.00	6.00	0.59	0.00	0.00	1.11	0.00	0.00	0.00	1.61	1.60	0.12	1.45	0.00	0.64	0.63	0.80
peak13335	9.97	10.31	16.51	6.53	10.89	22.96	3.34	28.05	5.19	7.28	0.00	6.38	1.69	3.01	0.00	1.28	2.51	0.80
peak4987	1.11	14.17	0.00	0.59	1.56	0.00	2.23	1.93	1.04	1.04	0.00	1.60	0.85	0.89	0.00	2.57	0.63	1.60
peak23576	5.54	1.29	12.01	5.93	24.89	13.39	1.11	2.90	0.00	2.08	0.00	3.19	1.94	2.45	0.00	2.57	1.26	4.00
peak18503	19.94	12.89	57.04	34.41	40.45	15.31	6.69	32.88	6.23	15.59	6.44	4.79	1.69	5.36	10.94	5.13	5.03	5.60
peak20312	0.00	10.31	4.50	2.97	1.56	1.91	1.11	3.87	4.16	5.20	0.00	1.60	1.57	2.34	2.73	1.92	1.89	2.40
peak10817	25.48	33.50	66.05	14.83	49.78	36.35	5.57	36.75	5.19	9.35	6.44	7.98	2.18	5.47	0.00	8.98	3.77	7.20
peak20840	4.43	5.15	16.51	4.15	3.11	0.00	0.00	13.54	12.47	9.35	1.61	7.98	1.69	6.92	4.10	3.85	2.51	7.20
peak20073	1.11	2.58	6.00	1.19	0.00	3.83	1.11	1.93	2.08	2.08	1.61	1.60	1.45	3.12	0.00	4.49	0.63	2.40
peak22481	6.65	9.02	48.03	13.05	17.11	7.65	4.46	6.77	1.04	2.08	1.61	7.98	1.09	3.68	2.73	8.98	0.63	4.80
peak21273	6.65	5.15	3.00	2.37	1.56	17.22	5.57	22.25	5.19	24.95	1.61	14.36	2.06	4.13	0.00	1.28	3.77	8.00
peak20041	7.75	12.89	9.01	9.49	1.56	17.22	7.80	10.64	7.27	5.20	4.83	4.79	2.54	8.03	6.84	5.77	5.03	4.00
peak14679	3.32	6.44	22.52	10.68	4.67	1.91	2.23	1.93	4.16	2.08	1.61	4.79	3.15	1.23	2.73	0.64	1.26	0.80
peak3562	1.11	5.15	4.50	1.19	6.22	0.00	1.11	2.90	2.08	1.04	3.22	4.79	2.18	1.90	0.00	1.28	1.26	4.00
peak15803	1.11	0.00	3.00	2.97	9.33	7.65	0.00	6.77	2.08	3.12	0.00	1.60	1.21	1.79	0.00	7.05	1.89	0.00
peak24921	8.86	15.46	4.50	4.75	21.78	7.65	0.00	8.70	10.39	14.55	1.61	1.60	1.33	11.38	0.00	7.70	6.29	23.99
peak18236	2.22	3.87	10.51	5.34	3.11	1.91	2.23	8.70	4.16	1.04	1.61	6.38	1.21	1.45	0.00	8.98	5.66	2.40
peak17252	3.32	7.73	7.51	4.75	4.67	34.44	0.00	12.57	2.08	5.20	0.00	4.79	1.33	1.56	0.00	4.49	5.03	0.80
peak10741	3.32	15.46	1.50	2.97	3.11	11.48	1.11	9.67	2.08	2.08	4.83	0.00	1.69	4.02	0.00	1.92	1.89	4.80
peak3806	3.32	1.29	0.00	0.00	1.56	0.00	0.00	0.97	1.04	0.00	3.22	1.60	0.73	0.22	0.00	0.64	0.00	1.60
peak25220	6.65	2.58	34.53	5.93	7.78	1.91	2.23	2.90	3.12	2.08	3.22	0.00	0.48	1.34	2.73	2.57	1.26	0.80
peak20958	5.54	7.73	7.51	2.97	9.33	3.83	3.34	9.67	3.12	4.16	4.83	3.19	0.97	3.24	1.37	3.21	0.63	1.60
peak17438	3.32	1.29	0.00	0.00	12.45	5.74	3.34	1.93	2.08	3.12	3.22	0.00	1.57	1.67	0.00	1.92	7.54	2.40
peak29297	14.40	36.08	288.21	103.81	21.78	9.57	15.61	31.92	4.16	10.39	9.66	17.56	4.72	26.66	23.25	28.86	5.03	13.60
peak16358	6.65	9.02	18.01	7.12	9.33	9.57	2.23	28.05	2.08	10.39	3.22	9.58	2.54	5.69	2.73	0.00	2.51	8.00
peak25262	12.19	14.17	18.01	11.27	4.67	11.48	3.34	16.44	4.16	7.28	1.61	4.79	1.33	3.24	1.37	2.57	1.89	7.20
peak19973	5.54	2.58	46.53	23.73	35.78	15.31	5.57	12.57	3.12	4.16	4.83	4.79	1.94	1.23	0.00	3.21	3.77	11.20
peak11523	5.54	7.73	36.03	14.24	0.00	13.39	4.46	18.38	4.16	3.12	6.44	12.77	1.94	6.69	4.10	4.49	3.14	5.60
peak15641	14.40	14.17	22.52	7.12	9.33	11.48	1.11	6.77	3.12	7.28	0.00	3.19	2.18	4.46	2.73	2.57	6.29	1.60
peak13623	0.00	1.29	3.00	1.19	0.00	3.83	0.00	1.93	0.00	0.00	0.00	1.60	2.30	0.89	2.73	0.64	0.00	0.00
peak26427	3.32	5.15	24.02	4.15	15.56	9.57	2.23	2.90	3.12	1.04	3.22	1.60	0.73	1.34	0.00	3.21	0.63	2.40
peak8766	4.43	2.58	7.51	7.12	20.22	19.13	3.34	15.47	2.08	3.12	0.00	4.79	0.60	6.25	1.37	3.85	1.26	2.40
peak47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.60	0.24	0.22	0.00	0.00	0.00	0.80
peak23819	2.22	0.00	1.50	3.56	0.00	1.91	3.34	3.87	3.12	3.12	1.61	6.38	0.85	0.89	4.10	0.64	0.63	4.00
peak26677	2.22	3.87	1.50	3.56	14.00	5.74	2.23	3.87	1.04	7.28	3.22	4.79	0.73	0.78	0.00	2.57	2.51	0.80
peak15231	16.62	61.85	28.52	11.86	9.33	36.35	5.57	23.21	2.08	19.75	4.83	14.36	1.69	10.26	1.37	7.05	1.26	11.20
peak15019	9.97	15.46	9.01	5.34	28.00	59.31	0.00	23.21	3.12	9.35	6.44	4.79	1.33	7.03	2.73	7.70	1.89	6.40
peak14051	0.00	0.00	0.00	0.00	12.45	0.00	0.00	0.97	1.04	1.04	3.22	0.00	0.97	0.45	2.73	1.28	1.26	1.60
peak12321	8.86	15.46	16.51	13.64	26.45	24.87	1.11	22.25	1.04	3.12	1.61	6.38	1.21	3.57	1.37	1.92	0.63	4.00
peak21334	0.00	10.31	1.50	2.37	0.00	0.00	1.11	10.64	2.08	3.12	3.22	4.79	0.97	4.46	1.37	3.85	0.63	0.80
peak29509	9.97	12.89	13.51	6.53	4.67	21.05	3.34	9.67	10.39	10.39	3.22	1.60	1.57	4.24	1.37	5.13	6.29	8.00
peak13433	13.29	15.46	33.02	9.49	7.78	26.78	8.92	31.92	1.04	15.59	3.22	15.96	1.81	8.37	5.47	3.21	3.77	4.00
peak2902	0.00	1.29	0.00	2.37	10.89	3.83	0.00	15.47	1.04	5.20	3.22	3.19	2.30	2.90	2.73	0.00	1.26	4.80
peak634	2.22	3.87	7.51	0.00	0.00	3.83	1.11	1.93	0.00	4.16	1.61	1.60	0.48	2.23	0.00	0.64	1.26	5.60
peak12016	4.43	3.87	6.00	6.53	26.45	36.35	3.34	7.74	1.04	4.16	0.00	7.98	0.73	6.02	2.73	13.47	3.77	1.60
peak25281	3.32	2.58	3.00	0.00	6.22	1.91	0.00	2.90	3.12	2.08	0.00	6.38	1.94	1.79	1.37	1.92	0.63	6.40
peak2400	0.00	1.29	0.00	0.59	0.00	1.91	0.00	0.00	3.12	2.08	0.00	0.00	0.48	1.00	0.00	0.64	1.26	0.80
peak430	4.43	6.44	9.01	10.08	26.45	15.31	0.00	7.74	3.12	2.08	0.00	6.38	2.06	2.23	2.73	3.21	0.63	0.00
peak1092	1.11	1.29	3.00	0.00	0.00	0.00	1.11	0.00	0.00	0.00	0.00	0.00	0.60	1.56	0.00	0.00	0.00	0.00
peak26132	0.00	2.58	0.00	0.00	0.00	0.00	1.11	0.00	0.00	5.20	1.61	0.00	0.60	0.33	0.00	0.00	0.00	0.00
peak21712	6.65	11.60	1.50	1.19	3.11	13.39	3.34	15.47	4.16	4.16	0.00	1.60	0.73	4.13	0.00	2.57	3.14	2.40
peak27359	7.75	2.58	3.00	3.56	26.45	32.52	6.69	3.87	2.08	3.12	4.83	0.00	1.45	3.57	1.37	1.28	1.26	3.20
peak2219	2.22	1.29	6.00	4.15	4.67	0.00	1.11	2.90	0.00	1.04	0.00	3.19	1.69	2.12	0.00	0.64	1.26	0.80
peak24473	11.08	32.21	3.00	6.53	12.45	17.22	2.23	11.61	6.23	9.35	0.00	12.77	1.94	5.80	0.00	7.70	5.03	7.20
peak13224	2.22	7.73	10.51	4.75	0.00	3.83	2.23	8.70	2.08	0.00	0.00	0.00	1.45	2.12	0.00	0.00	1.89	0.00
peak12240	2.22	0.00	12.01	1.78	6.22	5.74	1.11	1.93	3.12	0.00	0.00	1.60	0.85	2.45	6.84	7.70	0.63	0.80
peak3544	8.86	2.58	1.50	0.59	15.56	3.83	0.00	6.77	0.00	2.08	0.00	3.19	0.73	2.12	0.00	0.00	0.63	0.80
peak2112	9.97	10.31	15.01	5.93	3.11	26.78	8.92	8.70	2.08	6.24	4.83	7.98	2.06	5.02	8.20	3.21	5.03	4.00
peak29504	15.51	3.87	27.02	10.68	7.78	3.83	1.11	6.77	4.16	2.08	1.61	12.77	2.54	3.01	2.73	3.21	0.63	0.80
peak3231	9.97	10.31	25.52	20.76	7.78	22.96	2.23	5.80	1.04	2.08	0.00	4.79	1.21	6.36	0.00	6.41	0.63	3.20
peak22573	4.43	1.29	4.50	10.68	6.22	3.83	2.23	7.74	5.19	3.12	3.22	1.60	2.18	5.80	0.00	6.41	0.00	2.40
peak4108	0.00	1.29	7.51	1.19	1.56	3.83	0.00	1.93	5.19	0.00	0.00	0.00	2.18	1.90	2.73	0.64	1.26	0.80
peak28155	11.08	15.46	12.01	16.61	34.22	19.13	3.34	9.67	0.00	7.28	4.83	1.60	2.06	2.79	2.73	3.21	3.14	3.20
peak27350	13.29	11.60	21.02	10.68	7.78	11.48	3.34	19.34	2.08	5.20	6.44	4.79	2.18	4.57	5.47	3.21	2.51	8.00
peak27944	1.11	0.00	13.51	0.59	0.00	5.74	1.11	0.00	0.00	3.12	3.22	0.00	1.09	0.78	0.00	0.64	0.63	0.00
peak19285	6.65	10.31	31.52	16.61	21.78	11.48	2.23	11.61	4.16	13.51	6.44	7.98	1.57	6.47	1.37	0.64	5.03	3.20
peak7064	0.00	0.00	0.00	1.19	3.11	3.83	2.23	3.87	0.00	3.12	0.00	0.00	0.24	1.34	2.73	0.00	0.00	0.80
peak12356	5.54	28.35	24.02	12.46	43.56	51.66	5.57	39.65	1.04	9.35	16.11	14.36	2.06	7.14	5.47	5.77	6.29	7.20
peak20813	9.97	45.10	21.02	17.20	15.56	30.61	1.11	13.54	1.04	2.08	4.83	6.38	5.20	59.69	4.10	40.40	3.77	2.40
peak27721	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.93	0.00	3.12	1.61	0.00	0.24	1.23	0.00	2.57	0.00	0.00
peak1096	1.11	2.58	3.00	1.19	4.67	5.74	1.11	16.44	4.16	3.12	1.61	1.60	1.45	2.01	0.00	1.92	3.77	4.80
peak17417	11.08	11.60	16.51	10.08	14.00	32.52	6.69	12.57	0.00	8.32	1.61	3.19	2.54	4.46	1.37	3.85	3.14	1.60
peak16008	8.86	28.35	28.52	8.90	24.89	22.96	11.15	76.41	6.23	18.71	8.05	25.54	3.75	39.61	0.00	25.01	4.40	50.39
peak17997	1.11	3.87	4.50	3.56	3.11	0.00	3.34	17.41	3.12	11.43	6.44	1.60	2.54	6.47	2.73	3.85	0.63	1.60
peak18001	0.00	6.44	0.00	0.00	1.56	7.65	1.11	26.11	1.04	3.12	1.61	7.98	1.69	1.12	2.73	0.64	1.26	2.40
peak9917	0.00	0.00	0.00	0.00	0.00	0.00	4.46	0.00	0.00	2.08	0.00	0.00	1.94	0.56	1.37	0.00	0.63	2.40
peak7028	5.54	7.73	0.00	1.78	6.22	21.05	4.46	12.57	4.16	15.59	0.00	15.96	0.60	3.35	0.00	2.57	0.00	1.60
peak9715	7.75	12.89	4.50	7.12	4.67	13.39	2.23	11.61	12.47	3.12	3.22	1.60	1.69	6.92	1.37	8.34	4.40	2.40
peak22982	8.86	2.58	24.02	10.08	7.78	7.65	0.00	8.70	1.04	4.16	0.00	6.38	1.57	5.02	2.73	1.92	5.03	2.40
peak11251	0.00	0.00	0.00	0.00	0.00	0.00	3.34	0.00	1.04	0.00	0.00	0.00	1.09	0.00	0.00	0.64	2.51	5.60
peak18483	0.00	2.58	3.00	1.78	0.00	0.00	0.00	2.90	3.12	1.04	0.00	1.60	0.24	0.78	0.00	1.92	1.26	0.00
peak5416	6.65	16.75	6.00	8.30	26.45	15.31	5.57	15.47	6.23	7.28	3.22	9.58	1.33	11.60	5.47	3.21	2.51	10.40
peak19906	5.54	9.02	15.01	1.19	1.56	11.48	2.23	3.87	1.04	1.04	0.00	1.60	0.60	3.12	1.37	1.28	0.63	4.80
peak2252	0.00	1.29	0.00	4.15	0.00	0.00	0.00	0.97	1.04	0.00	4.83	1.60	1.45	1.90	1.37	0.64	0.63	0.00
peak11133	0.00	1.29	0.00	1.19	0.00	0.00	0.00	1.93	0.00	2.08	0.00	3.19	2.06	1.45	1.37	2.57	0.63	0.80
peak10311	1.11	7.73	1.50	1.19	1.56	0.00	0.00	0.00	0.00	3.12	0.00	3.19	1.57	1.00	1.37	0.00	2.51	2.40
peak1500	6.65	2.58	1.50	3.56	3.11	1.91	2.23	1.93	3.12	0.00	1.61	6.38	1.33	1.23	1.37	0.64	2.51	3.20
peak20113	15.51	7.73	7.51	5.34	14.00	11.48	5.57	12.57	2.08	4.16	3.22	9.58	3.51	4.02	0.00	9.62	5.03	11.20
peak2051	9.97	9.02	7.51	6.53	1.56	11.48	2.23	15.47	0.00	9.35	3.22	9.58	1.81	7.03	2.73	2.57	1.89	4.00
peak28929	8.86	12.89	4.50	3.56	4.67	1.91	4.46	33.85	14.55	12.47	0.00	19.15	1.94	6.14	4.10	1.92	1.26	11.20
peak20855	1.11	5.15	6.00	4.15	28.00	45.92	3.34	2.90	1.04	5.20	0.00	4.79	1.09	2.90	0.00	2.57	5.66	6.40
peak5009	7.75	5.15	10.51	6.53	7.78	3.83	6.69	11.61	1.04	7.28	1.61	6.38	1.45	6.81	6.84	9.62	2.51	1.60
peak11161	0.00	2.58	6.00	0.00	0.00	1.91	1.11	0.97	0.00	1.04	1.61	0.00	0.85	0.22	1.37	0.64	1.26	4.00
peak14346	0.00	0.00	12.01	3.56	4.67	1.91	0.00	0.00	1.04	3.12	4.83	0.00	0.73	0.33	0.00	0.00	3.77	2.40
peak4450	2.22	10.31	18.01	8.90	20.22	49.74	2.23	15.47	2.08	9.35	1.61	3.19	0.97	16.18	1.37	4.49	4.40	4.00
peak16289	7.75	6.44	10.51	5.34	3.11	11.48	3.34	14.51	5.19	9.35	1.61	3.19	1.21	4.46	0.00	5.77	1.26	4.00
peak14249	2.22	14.17	12.01	1.78	15.56	1.91	2.23	4.84	3.12	6.24	4.83	0.00	2.18	3.01	5.47	1.28	1.89	3.20
peak1682	28.80	28.35	19.51	8.30	14.00	40.18	0.00	29.98	1.04	16.63	6.44	11.17	1.21	8.70	1.37	4.49	2.51	13.60
peak19621	0.00	5.15	0.00	0.59	0.00	3.83	2.23	2.90	1.04	8.32	0.00	3.19	1.33	1.12	0.00	1.28	1.26	0.80
peak20419	8.86	14.17	7.51	5.34	3.11	9.57	3.34	25.15	3.12	4.16	3.22	4.79	1.45	1.67	0.00	2.57	1.89	4.80
peak16094	65.36	48.96	99.07	43.90	94.90	82.27	25.64	94.78	21.82	59.25	3.22	17.56	3.27	17.85	6.84	10.26	3.14	17.60
peak14975	1.11	1.29	1.50	0.59	1.56	3.83	1.11	3.87	4.16	5.20	1.61	0.00	1.33	3.46	2.73	1.92	1.89	0.00
peak8270	0.00	0.00	0.00	1.78	0.00	0.00	0.00	1.93	1.04	0.00	0.00	0.00	1.33	0.89	1.37	0.00	1.26	0.80
peak4506	0.00	2.58	0.00	0.59	1.56	7.65	2.23	0.97	1.04	4.16	1.61	1.60	1.33	0.78	0.00	0.00	0.00	0.00
peak29770	1.11	2.58	10.51	2.97	1.56	3.83	2.23	14.51	1.04	7.28	4.83	6.38	1.94	1.67	2.73	1.92	1.89	3.20
peak17910	8.86	9.02	24.02	5.34	14.00	15.31	1.11	7.74	2.08	2.08	0.00	1.60	1.45	10.38	0.00	10.90	1.26	1.60
peak10073	3.32	1.29	4.50	0.00	4.67	0.00	1.11	0.97	3.12	0.00	0.00	0.00	1.21	0.67	5.47	1.28	0.63	0.80
peak8221	1.11	5.15	12.01	3.56	1.56	0.00	1.11	4.84	1.04	5.20	4.83	6.38	2.78	2.34	4.10	6.41	1.89	0.80
peak24408	3.32	5.15	12.01	0.59	12.45	7.65	2.23	5.80	2.08	7.28	1.61	1.60	1.45	8.81	0.00	3.21	0.63	3.20
peak12486	0.00	1.29	1.50	1.19	0.00	0.00	0.00	0.00	0.00	1.04	0.00	3.19	0.36	0.56	0.00	0.00	0.00	0.80
peak8077	5.54	5.15	0.00	2.97	17.11	13.39	1.11	5.80	2.08	0.00	1.61	1.60	0.60	2.57	0.00	0.00	1.26	4.00
peak26755	3.32	3.87	4.50	7.12	24.89	13.39	1.11	9.67	0.00	0.00	1.61	0.00	1.09	1.34	2.73	0.00	1.89	2.40
peak20713	23.26	18.04	21.02	7.71	49.78	38.26	3.34	11.61	1.04	6.24	4.83	7.98	1.09	6.92	2.73	2.57	1.89	8.80
peak12969	4.43	2.58	55.54	15.42	1.56	7.65	3.34	3.87	0.00	2.08	6.44	3.19	1.09	2.90	4.10	3.21	2.51	3.20
peak8643	6.65	10.31	9.01	5.93	6.22	19.13	2.23	12.57	3.12	9.35	1.61	1.60	1.94	4.80	1.37	1.92	3.14	4.80
peak775	1.11	2.58	0.00	0.00	1.56	0.00	1.11	1.93	0.00	0.00	0.00	0.00	0.00	1.00	2.73	1.28	0.00	0.00
peak8750	11.08	12.89	4.50	3.56	4.67	0.00	2.23	5.80	2.08	3.12	1.61	3.19	1.94	1.00	1.37	3.21	3.77	1.60
peak437	15.51	19.33	13.51	10.68	29.56	28.70	11.15	21.28	2.08	5.20	3.22	6.38	1.81	4.46	1.37	2.57	0.63	11.20
peak25864	1.11	0.00	0.00	2.37	0.00	0.00	1.11	2.90	0.00	3.12	0.00	0.00	0.97	1.12	0.00	0.64	2.51	0.00
peak19926	14.40	6.44	3.00	4.75	4.67	5.74	1.11	7.74	1.04	3.12	0.00	3.19	1.94	2.23	0.00	3.85	5.03	1.60
peak20340	0.00	0.00	3.00	2.97	0.00	0.00	1.11	0.00	0.00	1.04	0.00	0.00	1.21	0.89	0.00	0.64	0.00	0.80
peak24622	0.00	11.60	16.51	6.53	12.45	7.65	1.11	14.51	1.04	1.04	0.00	1.60	0.73	3.68	0.00	1.28	3.14	2.40
peak21764	1.11	11.60	0.00	3.56	3.11	1.91	1.11	1.93	2.08	1.04	0.00	0.00	3.99	7.14	4.10	1.28	1.89	2.40
peak6288	1.11	0.00	0.00	0.59	0.00	0.00	2.23	0.00	2.08	0.00	0.00	1.60	0.36	0.45	0.00	0.00	1.26	0.00
peak26064	5.54	0.00	1.50	2.37	0.00	0.00	0.00	2.90	2.08	4.16	1.61	0.00	1.94	2.01	0.00	0.00	2.51	1.60
peak18907	3.32	23.19	12.01	11.27	9.33	17.22	0.00	34.82	4.16	7.28	3.22	23.94	1.21	5.02	2.73	2.57	3.77	8.00
peak9946	16.62	52.83	16.51	7.12	6.22	9.57	4.46	7.74	0.00	1.04	1.61	0.00	1.57	5.24	2.73	1.28	2.51	4.00
peak3072	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.61	0.00	0.12	0.33	0.00	1.28	0.00	0.00
peak23016	1.11	2.58	12.01	5.93	3.11	0.00	0.00	2.90	1.04	0.00	0.00	1.60	0.12	1.45	1.37	1.92	0.63	0.00
peak18680	0.00	1.29	0.00	0.59	3.11	0.00	0.00	1.93	0.00	0.00	1.61	0.00	0.60	1.56	0.00	2.57	0.63	0.80
peak8520	1.11	0.00	0.00	1.19	4.67	3.83	0.00	0.00	4.16	0.00	1.61	0.00	2.42	1.12	1.37	2.57	0.63	0.80
peak7500	4.43	16.75	18.01	15.42	31.11	24.87	2.23	13.54	2.08	10.39	0.00	4.79	1.57	3.12	5.47	3.21	1.89	9.60
peak15432	4.43	25.77	7.51	1.78	1.56	1.91	2.23	6.77	3.12	6.24	3.22	1.60	1.57	12.16	0.00	7.05	5.66	4.00
peak12023	6.65	0.00	7.51	1.19	3.11	0.00	0.00	0.97	2.08	1.04	0.00	3.19	1.21	2.12	0.00	1.92	1.89	1.60
peak25375	0.00	0.00	1.50	0.00	0.00	0.00	0.00	0.00	1.04	0.00	0.00	0.00	2.30	0.67	1.37	1.28	0.00	0.00
peak27513	7.75	18.04	15.01	10.08	9.33	21.05	3.34	18.38	3.12	4.16	0.00	9.58	1.21	4.80	0.00	5.13	0.63	4.80
peak16371	8.86	16.75	9.01	7.12	7.78	11.48	0.00	1.93	2.08	0.00	1.61	4.79	2.42	4.57	5.47	5.13	1.89	0.80
peak29027	0.00	5.15	18.01	8.30	4.67	1.91	1.11	0.97	1.04	4.16	1.61	1.60	2.06	1.00	0.00	0.64	1.89	1.60
peak13089	0.00	2.58	4.50	2.37	0.00	0.00	1.11	8.70	8.31	11.43	0.00	3.19	2.78	2.57	0.00	0.64	1.89	5.60
peak26366	6.65	11.60	18.01	11.86	24.89	26.78	3.34	6.77	0.00	2.08	0.00	1.60	0.60	2.34	2.73	1.92	2.51	1.60
peak5417	2.22	5.15	3.00	2.97	9.33	3.83	2.23	14.51	3.12	3.12	0.00	0.00	1.69	3.90	2.73	0.00	2.51	4.80
peak29997	2.22	2.58	13.51	1.78	17.11	1.91	1.11	7.74	2.08	0.00	1.61	4.79	1.21	1.79	0.00	1.92	1.89	1.60
peak7079	2.22	5.15	1.50	4.15	7.78	5.74	0.00	21.28	0.00	3.12	1.61	9.58	0.73	2.34	0.00	0.00	2.51	4.80
peak22190	1.11	5.15	6.00	1.19	4.67	3.83	0.00	2.90	1.04	1.04	1.61	0.00	1.21	2.68	6.84	1.92	2.51	1.60
peak4554	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.97	0.00	0.00	1.61	0.00	0.36	0.11	0.00	0.00	0.00	0.80
peak26334	8.86	21.90	39.03	9.49	26.45	15.31	2.23	5.80	4.16	0.00	4.83	6.38	1.33	5.02	1.37	5.77	6.29	2.40
peak1261	2.22	1.29	3.00	4.75	3.11	0.00	2.23	0.97	2.08	7.28	0.00	4.79	0.97	2.79	0.00	1.28	0.63	1.60
peak3126	5.54	1.29	4.50	4.75	3.11	1.91	1.11	3.87	2.08	0.00	1.61	0.00	1.69	2.01	1.37	2.57	1.26	1.60
