PeakID	Irf1_0	Irf1_120	Irf4_0	Irf4_120	Junb_0	Junb_120	Rela_0	Rela_120	Relb_0	Relb_120	Rel_0	Rel_120	Stat1_0	Stat1_120	Stat2_0	Stat2_120	Stat3_0	Stat3_120
peak13631	1.11	3.87	4.50	1.19	3.11	1.91	0.00	0.00	1.04	3.12	0.00	1.60	0.12	0.33	5.47	0.00	1.26	0.00
peak5051	2.22	6.44	10.51	1.78	3.11	3.83	2.23	8.70	1.04	4.16	1.61	0.00	1.69	3.68	0.00	8.34	2.51	3.20
peak29358	1.11	11.60	6.00	5.93	1.56	1.91	1.11	22.25	1.04	9.35	4.83	6.38	1.81	3.57	1.37	2.57	0.00	2.40
peak16268	6.65	6.44	21.02	1.19	24.89	9.57	1.11	1.93	3.12	0.00	3.22	1.60	1.57	2.68	0.00	1.92	1.89	3.20
peak22129	1.11	12.89	6.00	0.59	4.67	5.74	3.34	12.57	5.19	3.12	3.22	7.98	1.81	7.36	4.10	2.57	1.89	0.80
peak5607	0.00	1.29	1.50	1.19	0.00	0.00	0.00	0.00	1.04	0.00	1.61	0.00	1.81	1.23	1.37	3.21	1.89	0.00
peak28403	1.11	2.58	12.01	0.00	6.22	9.57	0.00	0.97	6.23	1.04	0.00	6.38	0.73	1.23	0.00	1.92	1.26	2.40
peak23077	0.00	2.58	0.00	1.78	1.56	0.00	1.11	0.00	0.00	0.00	0.00	3.19	0.48	0.89	2.73	0.00	2.51	1.60
peak24522	15.51	14.17	7.51	6.53	1.56	7.65	4.46	19.34	2.08	5.20	0.00	4.79	1.69	5.69	1.37	2.57	3.77	2.40
peak3022	1.11	7.73	15.01	16.02	20.22	7.65	3.34	9.67	2.08	9.35	3.22	1.60	2.18	3.24	1.37	5.13	5.66	5.60
peak9205	3.32	10.31	3.00	1.19	7.78	0.00	4.46	2.90	1.04	1.04	3.22	0.00	0.48	1.90	0.00	1.92	0.63	2.40
peak1765	2.22	10.31	12.01	8.90	12.45	0.00	1.11	7.74	0.00	9.35	0.00	1.60	1.33	1.79	0.00	0.64	0.00	2.40
peak28290	129.61	168.80	1.50	4.15	3.11	5.74	2.23	5.80	5.19	8.32	1.61	1.60	1.33	7.03	0.00	8.98	1.26	8.80
peak20289	9.97	14.17	24.02	4.15	1.56	47.83	3.34	20.31	2.08	4.16	4.83	7.98	2.18	5.13	2.73	1.92	1.89	4.00
peak2686	12.19	19.33	147.11	35.00	56.00	36.35	2.23	22.25	7.27	11.43	3.22	7.98	2.42	6.25	9.57	6.41	3.77	5.60
peak5353	4.43	5.15	3.00	4.75	0.00	0.00	0.00	2.90	3.12	2.08	3.22	1.60	1.81	5.47	0.00	5.77	0.63	0.00
peak29351	2.22	2.58	3.00	0.00	1.56	1.91	2.23	1.93	1.04	0.00	4.83	1.60	0.85	1.23	1.37	1.92	1.26	1.60
