PeakID	Uns	CpG	pIC	all3	PU.1_0hr	PU.1_CpG	PU.1_pIC	Rela_0hr	Rela_CpG	RelB_CpG	p300_0hr	p300_CpG	p300_pIC	cREL_0hr	cREL_CpG	cREL_pIC	IRF3_0hr	IRF3_CpG	IRF3_pIC	IRF5_0hr	IRF5_CpG	IRF5_pIC
peak23762	4.04	1.73	5.38	2.56	13.05	11.02	16.45	0.00	0.00	6.22	2.32	0.99	5.43	1.15	3.06	1.18	13.31	10.60	34.02	0.41	2.63	3.71
peak16647	3.18	37.45	10.75	51.78	0.78	1.50	2.59	0.92	16.40	15.21	1.03	3.45	1.97	1.73	15.30	7.07	4.44	10.60	11.91	0.82	11.13	10.26
peak5797	26.27	39.18	25.18	38.98	20.88	19.53	15.98	2.77	10.25	7.60	4.38	4.93	3.45	2.88	10.71	5.89	40.82	32.56	57.84	3.29	12.21	10.12
peak28716	6.06	6.63	5.94	5.12	9.13	10.02	5.88	3.69	3.59	3.11	2.32	3.95	3.95	2.30	9.18	5.30	6.21	24.23	17.01	2.05	7.73	6.70
peak22616	41.28	35.43	41.87	36.70	70.21	82.38	83.91	2.77	4.61	3.46	12.11	29.60	33.05	0.58	5.10	5.30	6.21	5.30	25.52	1.44	9.12	6.84
peak15762	7.79	5.76	6.79	13.09	7.57	6.26	8.70	1.38	7.18	2.07	1.55	4.93	7.89	0.00	2.04	4.13	2.66	2.27	75.70	5.14	14.84	23.09
peak19433	21.65	17.00	25.75	21.62	87.17	82.63	87.67	1.38	25.11	4.15	10.31	18.25	6.41	2.30	21.94	12.38	35.50	48.46	67.20	20.95	34.32	19.95
peak5189	0.58	1.15	4.53	1.71	0.52	0.75	0.71	2.77	1.03	0.00	0.77	0.99	0.99	0.00	0.00	0.00	2.66	1.51	0.00	1.03	1.24	0.86
peak28753	49.94	26.50	30.27	33.01	26.62	20.53	25.15	0.00	3.59	10.72	6.18	10.85	7.40	3.45	13.26	8.25	23.96	23.47	31.47	3.90	11.44	10.55
peak30089	1.15	1.44	1.70	6.83	0.78	1.00	1.18	0.00	0.00	1.38	0.77	1.48	0.49	0.00	1.53	1.18	0.00	0.00	0.00	0.62	1.24	1.00
peak26612	6.06	4.32	6.79	8.25	2.61	1.00	1.41	3.23	1.03	0.00	0.77	2.47	0.00	2.30	0.51	0.59	0.89	0.76	0.00	3.08	2.63	2.28
peak20729	9.82	3.17	6.22	14.23	4.70	5.01	4.00	0.92	4.10	1.38	1.55	0.00	1.97	0.00	1.02	1.18	1.77	3.03	0.00	7.81	3.71	3.28
peak27047	26.85	12.39	22.92	9.39	23.23	15.77	11.75	1.84	5.64	3.11	7.99	2.96	1.97	0.58	1.02	1.77	27.51	26.50	16.16	1.44	4.17	2.42
peak27246	3.46	2.30	5.94	3.41	3.13	2.00	5.17	0.00	1.03	0.00	1.55	1.97	0.49	0.00	4.59	3.54	1.77	3.79	5.95	2.05	4.64	3.71
peak27115	15.59	8.64	9.90	17.36	40.45	36.81	29.85	4.15	8.71	8.30	11.08	9.87	6.41	5.75	12.24	10.02	25.74	31.05	44.23	3.29	19.32	15.96
peak20852	4.62	8.07	7.92	15.08	3.13	3.51	3.06	1.84	2.05	5.53	1.03	1.48	1.48	1.15	1.02	2.36	1.77	0.00	1.70	2.05	7.73	6.98
peak15916	0.87	5.47	5.94	9.39	1.83	1.75	1.88	1.84	0.00	0.69	1.29	0.00	2.47	0.58	1.02	0.59	1.77	0.76	3.40	0.62	1.08	1.71
peak27819	3.75	11.52	8.20	19.92	1.04	3.51	1.41	0.92	7.69	9.68	1.80	1.48	0.00	0.58	3.57	2.95	1.77	0.00	0.85	0.82	2.01	1.00
peak22873	11.55	12.96	15.28	22.19	17.75	15.52	18.80	0.46	2.05	14.52	3.35	1.97	1.48	2.88	5.61	6.48	4.44	11.36	18.71	2.67	7.88	6.84
peak6422	66.98	18.44	31.69	27.88	31.58	28.80	29.85	3.23	20.50	25.58	14.43	33.54	16.28	4.03	21.43	21.22	36.39	32.56	85.91	6.78	83.02	80.95
peak30202	14.43	8.64	7.36	11.95	38.11	29.80	37.61	0.92	3.08	3.80	6.18	3.95	3.95	1.73	14.28	4.13	25.74	21.96	34.87	3.29	14.38	12.68
peak14725	8.37	10.66	6.79	20.20	0.26	0.25	0.71	0.00	0.00	1.04	0.77	0.00	2.47	1.15	1.02	2.36	0.89	5.30	3.40	2.88	1.24	2.00
peak22840	22.23	32.55	28.58	46.09	10.44	8.26	8.70	1.84	12.30	7.60	2.32	3.45	3.95	0.00	16.32	15.91	51.47	110.56	93.56	0.21	2.78	4.28
peak21734	1.73	8.93	3.68	12.80	2.35	3.00	4.00	2.31	0.00	1.04	3.35	2.47	0.99	0.58	1.02	0.00	1.77	0.76	0.00	1.23	3.86	2.99
peak29361	16.46	24.20	6.79	17.64	4.70	1.75	2.35	2.77	7.69	2.07	2.83	1.97	4.44	0.00	0.51	0.59	0.00	0.00	2.55	0.62	1.39	1.00
peak25301	1.73	0.86	4.24	0.85	1.04	1.00	0.94	0.92	2.05	0.00	2.06	1.48	0.99	0.00	0.51	0.00	0.89	0.00	1.70	0.82	1.08	0.71
peak20632	8.08	4.61	5.38	6.83	0.52	0.75	0.71	0.00	1.03	1.04	1.29	0.49	1.97	0.00	0.00	0.00	0.00	0.00	1.70	8.42	3.71	2.28
peak16909	1.73	2.02	0.28	6.54	1.30	1.50	1.65	0.46	1.03	1.38	0.26	0.49	0.49	0.00	1.53	0.00	2.66	0.76	1.70	1.44	0.77	1.43
peak28311	2.02	2.30	3.96	6.83	1.04	1.00	1.41	1.84	0.00	0.69	0.26	1.97	0.49	0.58	0.51	1.18	0.00	0.00	0.00	0.82	0.15	1.00
peak7558	72.46	28.23	63.66	18.21	94.48	59.34	66.05	1.84	5.13	8.30	19.33	12.33	12.33	1.73	21.43	21.81	126.02	106.01	145.45	14.58	30.76	26.79
peak13380	2.31	13.83	0.57	31.01	4.44	3.00	1.88	0.46	6.15	15.90	1.55	1.97	4.44	1.15	2.55	1.77	0.00	6.82	7.66	1.85	4.79	3.99
peak11871	10.68	4.90	7.64	4.55	21.66	6.76	9.87	2.77	3.08	15.55	2.06	2.96	0.00	2.30	5.61	8.25	7.10	2.27	5.10	2.05	5.10	3.99
peak15424	21.36	27.37	27.73	31.01	8.09	7.51	5.41	0.92	8.20	5.53	2.58	2.96	1.97	1.73	5.61	4.13	5.32	6.82	13.61	1.03	4.02	8.41
peak5171	33.20	35.72	35.37	42.68	31.32	23.04	28.91	3.69	10.25	5.88	6.70	16.28	9.87	2.88	26.53	19.45	27.51	24.23	38.28	14.79	53.64	52.30
peak4312	75.06	83.82	57.72	79.67	114.84	107.92	89.08	1.84	10.76	14.86	13.14	18.75	10.36	2.88	13.26	4.71	10.65	24.23	24.67	13.56	22.57	17.96
peak6457	16.17	33.70	21.22	41.83	58.99	57.09	62.29	1.38	7.69	11.06	10.57	14.31	19.73	2.30	27.55	18.86	17.75	35.59	102.07	9.86	45.91	34.35
peak14704	1.73	5.18	3.40	2.28	1.04	1.00	0.47	0.92	1.03	0.00	1.29	2.96	2.96	1.15	0.51	0.59	0.00	2.27	0.85	2.67	0.31	1.00
peak8956	38.68	11.52	11.32	15.08	37.32	26.04	19.74	2.77	1.54	7.60	10.05	7.89	5.92	7.48	9.18	10.02	53.25	34.83	62.94	8.83	26.90	29.64
peak19438	25.69	2.30	9.90	3.13	60.03	38.81	54.06	0.00	3.08	4.84	6.96	4.93	6.91	3.45	7.65	6.48	70.11	87.84	88.46	6.16	14.53	11.69
peak13631	14.72	6.05	11.32	2.28	34.19	28.54	24.21	0.00	4.10	2.77	3.35	4.44	2.47	0.58	3.06	1.77	14.20	14.39	17.86	2.26	8.04	5.27
peak5051	11.26	8.35	11.32	12.23	3.13	1.00	2.12	2.31	0.00	2.07	0.52	0.99	1.48	0.00	1.02	2.36	0.89	0.76	0.85	4.31	4.33	3.14
peak29358	7.79	46.09	27.16	44.39	6.26	13.02	8.46	1.84	8.20	14.52	1.80	9.87	4.44	2.30	6.12	3.54	0.89	5.30	5.95	1.64	9.89	5.70
peak16268	19.92	9.51	8.77	5.12	32.89	34.30	24.68	0.46	12.30	4.84	8.25	8.88	8.39	4.60	13.26	9.43	43.49	52.25	74.85	10.48	24.89	22.80
peak22129	2.60	4.32	3.96	5.69	7.05	8.26	8.46	0.92	0.00	1.38	0.52	0.99	2.47	0.00	2.04	0.59	1.77	2.27	5.10	1.23	3.25	2.57
peak5607	9.24	22.76	6.51	23.90	4.18	2.75	5.41	0.00	3.08	0.69	1.80	0.00	0.49	0.00	0.51	4.13	0.89	3.03	0.85	3.70	5.41	5.27
peak28403	8.95	10.95	10.47	19.06	2.35	4.76	6.82	2.77	1.54	2.77	0.52	2.96	7.89	1.73	0.51	0.59	1.77	5.30	11.91	0.41	5.26	5.27
peak23077	6.64	1.44	2.26	3.98	0.78	2.25	1.18	0.00	0.00	1.38	2.06	3.45	0.99	0.58	0.51	1.18	0.00	0.76	0.00	2.88	2.01	2.00
peak24522	6.06	27.94	15.28	26.75	9.92	21.28	21.15	2.31	6.15	12.79	1.80	5.92	3.45	2.30	9.18	10.02	1.77	10.60	11.06	4.52	6.34	6.13
peak3022	17.61	16.42	19.80	22.48	29.49	26.79	29.62	1.84	5.13	7.95	6.18	7.89	8.39	5.18	8.67	8.84	8.87	12.12	28.07	5.14	15.46	14.68
peak9205	13.86	2.30	10.47	1.42	12.27	16.03	12.22	0.46	7.18	6.57	5.67	8.88	2.96	6.33	19.38	8.84	15.97	22.72	47.63	10.27	51.94	43.33
peak1765	9.24	3.17	7.36	3.70	32.89	39.81	31.97	3.23	6.15	3.46	6.44	16.28	6.91	1.73	16.32	6.48	16.86	15.90	11.06	8.01	50.09	43.33
peak28290	38.68	33.13	37.63	33.01	2.35	1.50	2.59	0.46	4.10	1.38	2.32	1.97	1.97	0.00	2.04	0.59	0.89	0.00	2.55	5.75	5.41	5.42
peak20289	10.10	7.20	26.59	7.97	5.74	9.77	12.93	2.31	2.56	1.73	2.83	4.93	7.89	0.58	4.08	4.13	19.52	29.53	63.79	0.21	8.04	9.55
peak2686	30.02	16.13	25.46	27.03	93.96	93.65	90.73	2.31	4.10	8.64	18.55	12.33	12.33	4.60	24.49	23.57	28.40	53.76	58.69	8.22	14.69	12.68
peak5353	8.37	8.35	4.53	9.96	4.44	6.01	3.29	0.92	4.61	1.04	0.52	1.48	1.48	0.58	4.08	1.77	2.66	0.76	0.00	6.78	4.17	4.42
peak29351	2.60	2.02	6.79	3.70	0.00	0.25	1.18	0.46	0.00	3.11	0.52	0.00	0.99	0.00	0.00	0.00	0.00	1.51	0.85	1.03	1.55	1.00
peak20534	16.46	27.37	8.77	26.46	86.65	66.60	83.44	2.77	6.15	4.84	8.76	7.89	8.88	1.15	15.81	10.02	26.62	25.75	53.59	3.90	10.82	15.96
peak17649	7.79	7.49	7.64	6.54	3.91	4.51	4.00	2.31	2.05	1.38	0.77	0.99	0.00	0.00	1.53	1.77	0.00	1.51	0.85	8.22	1.70	4.85
peak14546	2.02	2.59	5.38	5.69	0.78	1.00	2.12	0.00	2.05	0.35	0.26	0.99	0.00	0.58	1.02	0.00	0.00	0.76	0.85	0.62	1.08	0.14
peak2412	2.60	8.35	3.11	15.65	1.04	2.50	4.23	0.92	8.71	5.88	0.26	6.41	5.43	1.73	4.59	3.54	1.77	6.06	6.80	2.05	8.04	3.99
peak19754	12.41	5.18	5.09	13.94	21.92	16.28	22.33	1.38	3.59	2.42	1.80	1.48	2.96	0.58	2.55	1.18	0.89	1.51	5.10	3.70	2.78	4.85
peak4013	14.43	28.23	13.30	29.02	6.79	6.51	6.35	0.92	1.03	1.38	4.12	3.45	1.97	0.00	0.51	1.77	1.77	0.00	0.00	0.62	0.15	0.43
peak22674	0.58	0.58	7.07	1.14	0.52	1.00	0.47	0.00	0.00	2.42	1.29	0.49	0.99	0.58	0.51	1.18	0.00	0.00	2.55	0.62	0.31	0.29
peak14169	16.74	8.93	13.58	6.83	2.35	3.26	3.53	0.46	0.00	0.00	0.77	0.99	0.00	1.15	0.00	1.18	0.00	0.00	6.80	3.49	1.08	1.57
peak3767	15.59	12.10	13.01	14.80	11.74	8.01	7.76	1.84	5.13	2.07	1.03	3.95	3.95	1.73	12.24	2.95	14.20	10.60	18.71	1.23	4.48	4.85
peak24383	0.00	7.20	0.00	14.51	1.57	0.50	0.24	0.46	4.10	0.00	0.26	1.97	0.49	1.15	1.53	1.77	0.89	0.00	0.85	0.00	0.77	1.00
peak2226	4.91	16.71	12.45	21.91	2.87	4.51	0.94	2.77	11.28	82.26	1.55	1.97	1.48	2.88	13.26	17.09	8.87	11.36	28.07	4.11	11.75	14.96
peak3034	10.68	3.74	3.11	1.99	4.18	1.75	2.12	0.00	2.05	0.00	2.06	0.99	0.99	0.00	1.02	1.18	0.89	0.00	0.85	2.26	1.86	1.14
peak15932	15.59	23.91	12.17	21.06	10.96	16.28	9.64	0.92	3.08	3.11	2.58	5.43	3.95	2.30	4.59	4.71	10.65	30.29	30.62	4.52	19.32	11.69
peak14440	5.77	8.35	4.24	14.80	9.40	9.01	8.70	0.92	4.10	1.73	2.83	3.45	1.97	2.88	2.04	5.89	1.77	1.51	5.95	1.64	2.94	4.42
peak3314	4.91	14.98	15.56	14.80	13.83	12.02	8.93	2.77	3.59	3.46	1.29	1.48	0.99	0.58	3.57	1.77	27.51	24.23	24.67	4.11	6.34	4.13
peak30147	8.37	5.76	3.11	10.53	2.35	0.75	1.41	0.00	3.08	3.80	0.77	2.96	0.99	0.58	2.04	1.77	2.66	1.51	3.40	3.70	4.02	3.71
peak12393	11.26	6.63	4.81	3.13	3.39	3.51	7.29	0.92	0.51	1.04	4.64	3.95	3.45	0.58	4.08	0.59	11.54	13.63	25.52	5.34	10.67	8.55
peak23366	1.15	2.88	0.57	5.98	1.57	0.25	0.71	1.84	2.05	0.00	0.26	0.49	0.49	1.73	0.51	0.59	0.89	0.00	0.85	1.44	0.31	1.14
peak8566	5.77	14.11	8.20	13.37	3.13	6.26	4.94	0.00	2.56	0.69	1.29	0.49	1.48	2.30	1.02	1.77	3.55	1.51	24.67	1.44	2.63	4.70
peak8301	2.02	4.61	2.55	0.85	0.78	1.00	2.12	0.92	0.00	0.69	1.29	1.48	1.48	0.58	1.02	0.59	0.00	2.27	0.00	1.23	1.39	1.14
peak1818	6.93	1.44	2.26	3.41	3.91	3.00	2.82	1.38	0.51	0.69	0.77	0.99	0.99	0.00	1.53	1.18	4.44	0.76	8.51	0.62	1.86	1.43
peak26564	0.87	5.76	9.34	18.49	1.57	1.50	1.88	0.92	4.10	19.36	0.77	0.49	0.99	0.58	3.06	4.13	1.77	3.03	1.70	1.03	1.39	1.43
peak27779	0.58	1.15	3.11	4.55	0.26	1.50	0.47	0.00	0.00	3.46	2.06	0.49	2.96	2.30	2.04	1.18	1.77	2.27	1.70	1.85	1.39	2.85
peak24864	0.58	7.78	6.51	7.40	1.83	2.00	1.88	0.92	22.55	13.83	0.26	2.96	1.97	4.03	16.32	9.43	0.00	3.03	9.36	1.23	6.65	8.98
peak6463	1.15	3.46	6.79	4.55	1.30	1.25	1.88	0.00	9.74	14.17	0.26	2.47	3.45	0.00	13.77	8.25	0.89	0.00	15.31	1.23	8.66	16.25
peak20685	2.02	6.91	1.98	4.27	1.83	3.26	4.47	1.38	1.03	2.77	0.52	0.99	0.99	0.00	1.53	1.18	0.00	0.00	0.85	1.44	0.31	1.28
peak11072	8.95	21.60	25.75	24.47	13.31	12.27	12.46	1.84	1.03	3.80	0.77	7.89	1.48	2.30	14.28	2.36	7.10	17.42	13.61	3.29	17.47	12.68
peak27151	38.97	59.34	56.87	86.78	22.97	24.54	21.15	0.92	13.33	25.58	7.47	12.83	11.84	2.30	22.45	15.32	31.06	35.59	96.97	12.74	34.17	42.61
peak3285	6.93	4.90	18.11	10.53	5.74	9.01	11.28	0.92	17.43	12.10	1.29	11.35	8.39	1.15	7.65	13.56	1.77	7.57	32.32	3.90	20.41	32.49
peak14417	10.10	1.15	1.70	1.99	4.44	3.76	1.88	2.77	1.03	0.00	1.55	1.48	0.99	1.15	1.53	0.00	4.44	1.51	0.85	0.41	1.70	2.28
peak6181	52.25	25.35	29.71	15.93	58.20	45.32	47.01	0.92	7.18	5.53	10.57	9.37	11.34	2.88	11.73	10.61	36.39	25.75	83.36	5.96	21.33	25.65
peak11817	12.13	15.55	16.13	20.49	22.71	23.04	23.50	0.00	10.76	28.69	4.64	5.92	7.40	1.15	9.69	11.20	3.55	18.93	37.43	4.52	15.15	12.11
peak5924	6.35	1.44	0.57	1.71	2.35	1.50	1.41	0.00	2.05	3.46	1.29	1.97	0.99	0.00	1.53	0.00	6.21	6.06	5.95	0.82	2.01	1.43
peak25244	61.78	59.34	61.39	63.45	32.62	32.80	32.44	0.92	5.64	8.30	7.22	8.39	8.88	1.15	4.59	5.30	24.85	38.62	44.23	2.46	11.13	11.69
peak18189	20.79	12.39	19.24	9.39	17.49	18.28	20.45	0.00	2.05	4.84	8.76	8.39	17.26	4.60	31.12	25.93	30.17	30.29	193.93	8.22	79.15	65.70
peak18423	2.02	0.86	5.66	2.28	0.00	1.50	0.94	0.92	1.03	1.38	1.03	0.49	1.48	1.15	1.02	0.00	0.00	0.00	0.00	0.41	1.70	2.28
peak29989	23.67	6.05	7.07	5.12	2.87	1.75	2.82	0.00	1.54	8.99	2.32	3.95	0.99	0.00	3.06	1.18	8.87	8.33	6.80	1.85	7.73	4.13
peak7263	8.08	15.55	7.64	7.40	6.00	4.51	6.11	1.38	4.10	5.18	3.35	2.96	0.99	0.00	0.00	0.59	6.21	2.27	2.55	1.03	3.09	2.14
peak24199	14.43	8.35	8.77	3.41	15.92	10.77	13.16	0.00	1.03	1.38	3.09	0.99	1.97	0.58	5.61	0.59	22.19	12.87	26.37	3.29	4.79	5.70
peak23422	28.87	12.10	16.69	9.11	72.56	47.57	54.30	1.84	7.18	4.84	11.08	7.40	4.44	2.88	18.36	7.66	33.72	32.56	44.23	6.98	19.17	14.54
peak10460	13.57	6.91	11.32	9.67	31.32	32.55	34.79	1.38	4.61	3.80	5.67	9.87	11.84	3.45	19.89	12.97	16.86	14.39	98.67	19.10	68.02	57.29
peak2419	0.87	1.73	2.26	5.98	0.52	0.75	0.94	1.84	2.05	4.15	0.77	0.49	0.99	0.00	0.51	1.18	0.00	0.76	0.85	1.44	1.24	0.86
peak18749	13.86	15.55	25.46	12.52	12.53	12.77	11.99	3.69	5.13	4.84	2.83	4.93	2.96	2.30	4.08	8.25	7.10	9.09	5.10	5.34	11.13	11.97
peak9089	24.54	10.37	14.71	8.82	21.92	21.03	26.09	3.69	4.10	12.79	7.22	8.39	7.89	1.73	10.20	8.25	15.09	28.77	61.24	5.14	20.10	22.38
peak11307	6.06	7.78	31.97	14.23	10.18	26.29	20.68	0.00	12.30	5.53	2.58	7.40	3.95	0.00	14.28	10.02	5.32	34.83	15.31	6.98	14.07	15.25
peak23088	21.07	12.10	17.26	9.39	50.63	30.55	34.79	0.00	2.05	3.80	9.28	10.85	7.40	2.88	7.65	11.79	39.05	31.05	45.93	11.71	16.23	14.68
peak7571	171.19	214.31	132.41	185.52	79.86	63.10	55.47	5.07	19.99	33.53	19.59	16.77	12.82	11.50	23.47	27.70	233.41	181.74	249.22	19.92	42.36	39.62
peak3113	11.55	5.76	7.64	8.25	0.00	0.50	0.24	0.00	1.03	0.00	0.00	0.00	0.49	0.00	0.51	1.18	0.00	1.51	0.00	2.26	0.62	0.43
peak7809	1.44	5.47	4.24	6.83	1.57	1.75	3.29	0.92	3.08	1.04	2.58	1.97	1.48	2.30	5.61	3.54	0.89	10.60	1.70	0.62	2.94	2.00
peak10854	11.26	9.22	10.75	11.67	47.24	38.56	34.32	1.84	2.56	0.69	1.55	2.47	3.95	0.58	7.65	7.07	31.95	34.08	33.17	7.81	11.44	10.55
peak786	16.74	5.18	14.43	9.67	26.62	24.04	32.20	2.77	0.00	2.42	9.28	6.91	14.80	4.60	7.14	6.48	17.75	32.56	139.50	5.96	18.55	28.65
peak23379	4.62	7.20	14.43	13.66	7.05	7.51	9.17	1.84	6.66	13.13	1.80	3.45	4.93	1.73	5.10	1.77	31.95	44.68	30.62	3.29	6.80	7.98
peak17346	3.46	3.74	1.13	7.97	1.83	2.75	4.00	0.00	1.03	1.04	0.26	0.99	1.97	0.00	2.04	1.77	1.77	2.27	0.85	2.05	3.56	1.14
peak12130	3.46	3.46	1.41	3.13	0.26	0.00	0.47	0.00	2.05	0.00	0.00	0.49	0.00	0.00	0.00	0.59	0.00	0.00	0.00	0.21	0.00	0.00
peak6885	6.64	13.54	22.63	21.06	16.70	18.78	16.45	1.38	7.18	6.91	1.80	2.47	3.45	2.88	5.10	1.18	6.21	8.33	14.46	1.85	2.47	2.99
peak13344	6.93	3.46	6.22	0.28	0.52	1.25	4.00	2.31	5.13	1.73	0.52	2.96	0.99	0.58	1.53	2.36	6.21	2.27	0.85	0.62	1.55	1.57
peak22620	0.87	1.73	5.94	1.14	0.78	1.00	1.18	0.46	2.56	1.38	1.29	2.96	0.00	1.15	1.53	0.59	0.00	3.79	2.55	0.41	0.62	0.71
peak1569	8.08	14.98	14.15	5.69	10.18	12.52	7.76	0.92	5.13	5.53	3.09	7.89	0.99	4.03	22.96	8.25	7.10	21.20	12.76	7.19	20.10	9.26
peak22504	10.68	16.42	13.58	16.79	4.70	7.51	6.11	2.77	7.18	9.68	1.80	2.96	3.95	1.73	0.51	3.54	3.55	5.30	10.21	2.26	2.16	2.42
peak8652	14.72	16.42	14.15	25.89	25.84	26.29	20.68	2.31	1.03	2.07	3.09	4.44	6.41	1.73	4.59	4.71	1.77	4.54	11.91	6.16	10.82	9.26
peak21005	30.31	14.11	18.11	26.46	18.01	18.78	20.68	1.84	11.79	18.67	5.41	6.91	6.91	0.58	30.10	28.29	15.97	25.75	32.32	6.98	21.95	23.23
peak6299	11.26	7.49	14.43	8.25	23.49	21.03	19.04	7.84	18.96	6.91	2.83	2.96	4.44	4.03	10.71	7.66	33.72	43.92	57.84	4.31	15.77	8.69
peak28385	5.77	5.47	12.45	13.66	10.44	5.76	8.46	0.92	1.03	3.46	2.32	2.47	3.95	0.00	3.57	0.59	7.10	0.00	0.85	3.70	7.58	6.98
peak24801	1.44	3.17	0.57	5.98	1.83	1.00	1.41	1.84	0.00	0.00	2.06	0.99	1.48	1.15	0.51	3.54	0.00	0.76	3.40	0.82	1.55	0.71
peak19152	3.46	4.03	17.54	7.11	4.44	10.27	11.75	0.46	9.74	11.06	1.29	3.45	5.92	0.58	10.20	13.56	0.89	3.03	4.25	2.05	4.48	9.12
peak8030	11.55	17.57	45.27	18.49	19.57	22.03	27.03	0.00	3.59	15.55	2.58	5.43	30.58	2.88	17.85	17.09	6.21	6.06	217.75	3.29	11.59	21.38
peak24184	13.86	5.47	11.32	10.53	21.14	14.27	19.27	0.92	1.03	0.69	1.80	1.97	5.43	0.58	4.59	4.13	33.72	46.19	34.87	2.26	4.79	5.84
peak18573	11.84	30.25	31.40	37.56	40.19	37.56	34.79	2.77	16.40	9.33	5.15	11.84	6.41	0.58	9.18	5.30	18.64	29.53	32.32	8.01	25.20	25.65
peak14117	27.14	17.86	33.67	26.46	1.30	0.75	0.71	0.00	2.05	2.07	1.29	1.48	2.96	0.00	1.53	0.00	1.77	3.03	12.76	1.03	3.56	2.28
peak6068	0.87	4.61	0.00	1.42	0.52	2.00	1.88	0.00	1.54	19.36	0.77	0.49	0.49	0.58	0.00	1.18	0.00	2.27	0.85	1.64	0.31	1.57
peak2797	7.51	16.71	11.32	17.36	3.65	4.01	4.47	0.92	3.08	4.15	1.29	3.45	1.48	0.00	1.02	2.36	2.66	8.33	0.00	2.26	2.94	1.28
peak21268	12.13	16.13	19.52	18.78	16.96	16.78	15.28	3.69	5.64	6.22	4.38	7.40	6.41	1.73	4.08	5.89	2.66	1.51	14.46	1.03	11.29	10.83
peak17647	0.87	4.32	5.09	2.56	10.70	9.51	12.46	1.84	1.03	1.38	1.03	0.99	1.48	1.15	1.02	1.77	7.99	4.54	8.51	2.46	6.65	5.13
peak22244	1.15	2.59	0.00	6.26	1.30	2.75	1.88	1.84	1.03	4.49	1.80	0.49	2.47	1.73	2.55	1.77	0.89	0.00	1.70	2.46	2.47	2.57
peak9272	7.79	2.30	3.68	1.14	18.01	16.53	11.99	0.92	0.00	1.38	3.35	2.47	2.96	0.58	2.55	1.77	2.66	4.54	5.95	3.08	1.86	2.71
peak8048	32.04	21.32	15.84	17.64	68.12	53.58	48.42	2.77	10.76	3.11	10.57	7.40	6.91	4.03	15.81	16.50	42.60	40.13	39.13	6.98	46.07	22.66
peak8678	29.16	27.37	19.80	30.44	30.28	25.29	28.44	4.15	9.74	6.91	5.41	7.89	3.45	2.30	7.14	4.13	20.41	20.45	33.17	3.08	9.58	11.54
peak20788	2.60	1.73	9.34	5.98	2.09	2.00	1.65	0.00	1.54	2.07	1.03	0.49	0.49	0.00	1.02	0.00	0.00	0.00	0.00	0.62	1.55	0.57
peak24296	3.18	0.86	5.38	1.14	11.22	6.01	7.05	0.92	0.00	0.35	2.83	2.47	3.95	0.00	0.00	2.36	0.00	1.51	0.00	1.64	1.55	1.00
peak29388	20.50	7.78	16.13	11.95	13.31	17.03	10.58	1.38	1.03	2.07	3.61	2.96	3.45	0.00	0.51	3.54	8.87	6.82	10.21	3.29	6.80	7.27
peak27630	29.16	52.14	61.96	44.96	45.67	44.07	50.77	3.69	17.43	25.92	4.12	8.88	21.21	2.88	14.28	9.43	64.79	62.85	324.07	13.76	48.70	58.57
peak219	9.24	6.91	9.34	8.54	2.09	3.26	3.06	1.38	2.05	0.69	0.77	1.97	2.96	2.88	3.06	1.18	3.55	2.27	0.00	1.03	1.24	1.00
peak11573	5.77	5.47	8.77	6.54	1.83	3.00	0.94	0.46	0.51	2.42	1.29	0.00	0.49	0.00	0.51	0.59	0.00	0.76	1.70	4.52	1.39	1.71
peak4937	0.87	0.86	4.24	1.71	1.30	1.50	1.18	0.92	1.54	0.69	1.03	0.49	0.49	0.58	0.00	1.18	0.00	0.76	0.00	1.44	0.46	0.57
peak29022	15.01	19.88	10.75	17.07	6.79	5.01	3.76	3.23	3.59	4.15	1.80	3.45	4.44	0.00	3.06	1.18	2.66	3.03	10.21	8.83	7.27	5.99
peak17917	17.03	23.04	20.09	17.93	37.58	18.03	20.21	15.22	38.44	7.60	5.41	1.48	2.47	0.00	0.00	3.54	7.10	4.54	9.36	3.70	5.87	3.99
peak13106	2.02	0.29	1.13	4.55	1.30	0.50	1.88	0.00	3.08	0.00	1.55	0.99	0.00	0.00	2.55	0.00	1.77	0.00	0.00	1.85	1.39	1.85
peak16811	22.23	13.54	14.99	10.81	10.70	11.02	10.11	2.31	3.08	0.69	7.47	3.95	4.93	0.00	4.08	4.13	14.20	17.42	11.06	4.93	10.05	9.98
peak18384	5.20	19.59	8.20	32.15	9.40	12.02	6.82	0.00	5.13	15.21	1.29	5.43	4.93	0.00	7.65	5.89	7.99	19.69	10.21	1.03	7.11	4.56
peak4923	0.58	3.46	1.70	9.11	1.04	1.25	0.71	1.38	0.00	0.00	1.03	0.99	0.99	0.58	2.04	0.59	0.00	3.03	0.00	1.64	0.62	1.71
peak30300	8.08	5.76	9.62	7.97	44.63	30.05	29.62	0.92	2.05	2.77	3.09	1.97	3.45	1.15	4.59	1.77	13.31	7.57	10.21	2.46	5.26	4.28
peak16014	0.58	3.46	4.53	5.41	6.00	6.01	2.35	0.00	3.08	15.90	0.52	0.99	1.48	0.58	3.06	8.84	0.00	5.30	8.51	0.82	3.25	4.85
