PeakID	Uns	CpG	pIC	all3	PU.1_0hr	PU.1_CpG	PU.1_pIC	Rela_0hr	Rela_CpG	RelB_CpG	p300_0hr	p300_CpG	p300_pIC	cREL_0hr	cREL_CpG	cREL_pIC	IRF3_0hr	IRF3_CpG	IRF3_pIC	IRF5_0hr	IRF5_CpG	IRF5_pIC
peak8776	2.02	6.34	4.81	0.85	4.18	5.76	4.70	0.46	1.03	1.04	0.52	1.48	1.48	2.88	0.51	0.00	0.89	0.76	1.70	1.03	1.39	0.86
peak28455	0.87	6.05	3.11	9.11	0.78	1.50	1.18	0.00	4.10	2.07	1.29	1.48	0.99	0.00	0.51	0.59	0.00	2.27	5.95	0.82	0.62	0.71
peak26995	25.69	26.21	16.41	17.36	68.64	48.33	31.26	2.31	6.66	8.99	10.05	12.83	5.43	2.88	11.22	5.30	23.07	21.20	19.56	6.98	29.53	21.09
peak24314	28.29	7.78	14.71	5.12	56.38	49.08	54.06	1.84	7.18	3.11	7.47	7.40	5.43	2.30	12.75	8.84	30.17	33.32	45.93	5.75	10.36	11.26
peak13985	8.95	5.47	3.96	11.67	2.61	2.75	3.53	0.00	1.03	1.73	0.77	1.97	0.99	0.58	2.55	2.36	6.21	8.33	13.61	1.85	2.94	2.14
peak1506	28.29	7.20	13.30	3.13	52.20	36.31	46.30	1.84	4.10	2.07	12.11	10.85	15.78	2.30	15.30	12.38	41.71	48.46	147.15	4.72	35.87	29.22
peak19891	0.87	1.44	2.83	6.54	1.30	1.50	1.88	0.92	1.54	2.77	2.58	2.96	0.49	1.15	2.55	0.59	0.00	0.00	0.00	0.62	0.77	0.14
peak30196	17.61	8.07	7.64	6.83	22.97	20.53	11.99	0.00	1.54	1.73	2.83	4.44	2.96	0.00	1.02	2.95	5.32	2.27	6.80	0.62	4.48	3.28
peak8445	1.73	8.35	1.70	24.75	2.61	3.26	1.88	3.23	1.03	2.07	2.06	2.96	1.97	2.88	1.02	0.59	4.44	1.51	7.66	1.85	0.93	2.00
peak15896	62.94	13.25	25.75	7.11	34.97	28.54	25.15	1.84	2.05	3.80	12.63	7.40	15.29	4.03	12.75	7.66	34.61	26.50	31.47	3.29	12.83	17.10
peak28383	4.33	2.30	3.68	1.99	2.61	3.00	2.59	0.92	1.03	3.46	1.55	2.47	1.48	0.00	0.51	0.00	0.00	1.51	0.00	1.03	0.31	1.00
peak26387	2.31	2.59	0.00	5.98	4.96	3.00	3.06	0.00	2.56	2.07	2.06	0.49	0.00	1.15	2.04	1.77	2.66	0.00	4.25	0.82	2.16	1.00
peak8787	30.02	6.91	6.79	5.12	40.98	30.80	30.09	0.92	0.51	2.07	10.82	11.35	8.39	3.45	5.61	3.54	21.30	13.63	46.78	3.29	13.76	12.40
peak16169	4.04	0.86	5.09	0.00	2.61	2.25	1.41	2.31	0.00	0.69	1.03	0.49	1.97	1.73	0.51	0.59	0.89	3.03	0.00	2.26	1.86	2.28
peak28919	3.46	4.61	1.70	1.99	2.35	1.75	3.53	0.92	1.03	0.00	0.77	0.00	0.49	0.00	0.00	1.77	0.00	1.51	4.25	4.93	2.01	2.71
peak29230	6.64	3.46	9.90	2.56	3.13	3.00	3.06	0.46	0.00	3.46	1.55	0.99	2.47	1.73	2.04	0.59	6.21	0.76	5.95	1.44	1.70	0.71
peak24236	2.31	4.32	3.11	5.69	5.22	3.00	4.47	0.92	0.00	2.07	0.77	0.99	2.96	0.00	0.51	0.00	0.00	3.03	3.40	2.26	2.16	2.14
peak22167	6.35	12.39	5.94	8.54	1.57	4.76	5.17	0.92	2.56	11.41	2.06	3.45	1.97	0.58	9.18	2.95	0.00	1.51	3.40	1.03	2.78	1.57
peak2141	3.46	5.18	2.83	4.27	1.30	0.75	2.12	3.23	1.03	2.07	0.26	1.48	0.99	0.00	0.00	0.59	1.77	2.27	0.00	3.29	2.47	1.71
peak5230	12.99	25.92	14.15	36.70	6.26	5.26	4.47	3.23	12.30	7.95	2.06	3.95	2.47	0.00	1.53	2.95	1.77	4.54	4.25	1.85	1.08	1.00
peak12633	8.95	7.78	4.53	8.25	9.40	5.01	7.76	2.77	4.10	3.11	2.06	2.96	2.47	2.30	2.55	1.18	6.21	0.76	8.51	1.23	4.48	4.85
peak15764	2.31	2.88	5.94	5.41	2.61	6.76	5.64	1.38	10.76	6.22	0.26	11.35	3.95	0.58	6.63	5.89	0.00	1.51	8.51	1.03	14.84	14.25
peak28267	10.68	8.35	4.24	12.23	9.66	7.51	10.11	0.92	1.03	2.07	3.35	2.96	6.91	0.00	5.61	1.77	20.41	18.17	33.17	2.67	10.67	6.13
peak267	4.04	4.32	6.51	4.84	6.26	8.76	8.23	0.92	4.10	2.42	1.55	1.97	11.84	0.58	8.67	8.84	10.65	3.79	55.29	4.11	13.60	27.65
peak7137	51.96	39.46	44.14	38.41	135.72	92.90	94.02	2.31	5.64	9.33	20.62	21.21	11.34	2.30	10.20	8.84	53.25	62.85	59.54	10.06	18.40	17.24
peak13362	6.06	15.84	16.13	21.34	2.09	7.51	9.87	0.00	3.59	19.70	0.52	2.96	3.45	0.00	4.59	3.54	0.00	0.76	2.55	2.05	4.64	5.42
peak22069	19.63	8.93	9.05	8.82	14.62	14.52	14.10	1.84	5.13	10.02	4.12	5.43	2.47	0.58	4.59	3.54	17.75	6.82	33.17	4.52	7.42	9.26
peak26987	33.49	30.25	41.31	15.08	21.40	24.29	23.74	3.69	10.25	9.33	7.22	25.65	11.34	2.88	19.89	15.32	29.29	49.22	69.75	8.63	30.61	28.93
peak4236	9.82	5.76	2.26	2.56	10.18	4.01	3.06	0.00	0.00	1.73	4.38	2.96	1.48	0.00	1.53	1.18	0.00	0.00	0.85	0.00	0.62	1.14
peak4728	0.58	1.15	6.79	1.99	0.26	0.75	1.41	0.00	0.00	1.73	1.55	0.49	0.49	0.00	0.51	1.18	2.66	0.00	0.00	2.05	0.93	0.57
peak20827	0.58	2.02	10.75	2.56	0.26	0.50	0.94	0.46	1.03	9.68	0.77	0.49	2.96	0.00	1.53	0.59	0.00	0.76	7.66	1.23	0.77	2.28
peak8170	3.75	54.44	10.19	83.65	1.04	3.00	1.88	0.00	18.45	35.26	0.52	3.95	0.99	2.88	16.83	4.71	0.89	0.76	2.55	1.44	11.75	2.14
peak28134	28.87	27.94	33.95	38.41	40.19	33.80	37.84	3.23	9.74	9.68	6.96	9.87	10.36	1.73	19.89	15.32	26.62	46.95	61.24	8.42	14.38	18.38
peak5355	4.62	2.59	2.26	1.99	0.00	0.00	0.24	0.00	0.00	0.00	0.26	0.49	0.49	0.58	0.51	0.00	0.00	0.76	0.00	1.44	0.15	0.00
peak14391	15.88	17.28	15.56	12.52	13.83	13.77	13.63	0.00	6.66	2.07	1.80	2.47	2.96	0.58	2.04	3.54	28.40	49.98	45.93	5.75	6.80	6.41
peak19300	1.73	0.58	4.81	0.57	2.09	1.75	1.18	3.23	0.00	0.69	0.77	1.48	1.97	1.15	1.53	1.18	0.00	2.27	2.55	3.49	5.57	4.85
peak13064	18.19	5.47	9.90	5.12	5.22	3.76	5.64	1.38	0.00	1.73	3.09	4.44	2.47	1.15	9.69	7.66	11.54	9.09	32.32	1.85	10.51	10.97
